Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
DAL,DAL vs. SAC,2020-02-12,W,36,96,36,67,0.5373134328358209,11,31,0.3548387096774194,13,16,0.8125,3,36,39,24,8,0,5,12,19,1
CLE,CLE vs. ATL,2020-02-12,W,36,98,39,75,0.52,7,22,0.3181818181818182,13,15,0.8666666666666667,14,29,43,20,11,5,5,18,18,1
CHA,CHA @ MIN,2020-02-12,W,36,81,32,72,0.4444444444444444,10,27,0.37037037037037035,7,12,0.5833333333333334,8,29,37,19,12,6,1,12,-6,0
BKN,BKN vs. TOR,2020-02-12,W,36,75,25,67,0.373134328358209,7,28,0.25,18,22,0.8181818181818182,8,32,40,19,11,7,4,10,10,1
ATL,ATL @ CLE,2020-02-12,L,36,80,28,67,0.417910447761194,10,27,0.37037037037037035,14,18,0.7777777777777778,9,22,31,18,12,7,3,20,-18,0
WAS,WAS vs. CHI,2020-02-11,W,36,100,40,72,0.5555555555555556,8,25,0.32,12,17,0.7058823529411765,8,27,35,23,10,7,4,12,18,1
SAS,SAS @ OKC,2020-02-11,W,36,79,28,66,0.42424242424242425,6,24,0.25,17,19,0.8947368421052632,7,28,35,14,9,7,6,19,2,0
POR,POR @ NOP,2020-02-11,L,36,86,33,71,0.4647887323943662,5,20,0.25,15,18,0.8333333333333334,8,21,29,14,12,4,2,19,-18,0
PHI,PHI vs. LAC,2020-02-11,W,36,81,34,73,0.4657534246575342,4,18,0.2222222222222222,9,12,0.75,9,29,38,18,6,3,5,7,4,1
OKC,OKC vs. SAS,2020-02-11,L,36,77,27,60,0.45,6,15,0.4,17,21,0.8095238095238095,5,24,29,15,12,5,2,16,-2,1
NOP,NOP vs. POR,2020-02-11,W,36,104,39,73,0.5342465753424658,10,28,0.35714285714285715,16,20,0.8,10,28,38,32,10,6,5,12,18,1
LAC,LAC @ PHI,2020-02-11,L,36,77,31,68,0.45588235294117646,10,22,0.45454545454545453,5,8,0.625,4,26,30,20,7,2,5,11,-4,0
HOU,HOU vs. BOS,2020-02-11,W,36,78,23,59,0.3898305084745763,10,35,0.2857142857142857,22,26,0.8461538461538461,3,33,36,11,11,7,4,13,7,1
CHI,CHI @ WAS,2020-02-11,L,36,82,31,68,0.45588235294117646,11,31,0.3548387096774194,9,13,0.6923076923076923,9,26,35,22,16,6,4,16,-18,0
BOS,BOS @ HOU,2020-02-11,L,36,71,27,67,0.40298507462686567,8,26,0.3076923076923077,9,12,0.75,8,32,40,18,14,9,4,19,-7,0
UTA,UTA @ DAL,2020-02-10,W,36,100,36,58,0.6206896551724138,12,27,0.4444444444444444,16,21,0.7619047619047619,7,28,35,19,14,3,1,16,16,0
TOR,TOR vs. MIN,2020-02-10,W,36,106,39,67,0.582089552238806,12,26,0.46153846153846156,16,21,0.7619047619047619,7,27,34,24,17,11,1,19,12,1
SAS,SAS @ DEN,2020-02-10,L,36,93,33,65,0.5076923076923077,13,23,0.5652173913043478,14,15,0.9333333333333333,8,20,28,26,8,7,1,12,4,0
SAC,SAC @ MIL,2020-02-10,L,36,90,35,77,0.45454545454545453,10,32,0.3125,10,14,0.7142857142857143,8,28,36,19,8,4,4,16,2,0
PHX,PHX @ LAL,2020-02-10,L,36,75,24,57,0.42105263157894735,10,25,0.4,17,23,0.7391304347826086,3,19,22,19,10,6,2,12,-15,0
ORL,ORL vs. ATL,2020-02-10,W,36,93,36,70,0.5142857142857142,12,24,0.5,9,13,0.6923076923076923,9,21,30,24,10,8,5,12,-3,1
MIN,MIN @ TOR,2020-02-10,L,36,94,30,66,0.45454545454545453,12,29,0.41379310344827586,22,25,0.88,6,20,26,18,16,6,3,17,-12,0
MIL,MIL vs. SAC,2020-02-10,W,36,88,33,71,0.4647887323943662,12,28,0.42857142857142855,10,14,0.7142857142857143,6,31,37,19,10,2,3,13,-2,1
MIA,MIA @ GSW,2020-02-10,W,36,83,31,65,0.47692307692307695,7,22,0.3181818181818182,14,18,0.7777777777777778,4,34,38,27,11,8,3,15,8,0
LAL,LAL vs. PHX,2020-02-10,W,36,90,35,68,0.5147058823529411,10,25,0.4,10,14,0.7142857142857143,9,34,43,21,12,5,3,14,15,1
IND,IND vs. BKN,2020-02-10,L,36,80,33,68,0.4852941176470588,7,26,0.2692307692307692,7,9,0.7777777777777778,5,26,31,21,5,6,3,16,3,1
GSW,GSW vs. MIA,2020-02-10,L,36,75,22,59,0.3728813559322034,7,27,0.25925925925925924,24,27,0.8888888888888888,3,25,28,17,10,7,2,15,-8,1
DET,DET vs. CHA,2020-02-10,L,36,59,23,62,0.3709677419354839,6,28,0.21428571428571427,7,8,0.875,14,27,41,17,16,3,5,15,-7,1
DEN,DEN vs. SAS,2020-02-10,W,36,89,32,57,0.5614035087719298,12,25,0.48,13,17,0.7647058823529411,6,21,27,25,11,5,3,11,-4,1
DAL,DAL vs. UTA,2020-02-10,L,36,84,31,66,0.4696969696969697,11,32,0.34375,11,14,0.7857142857142857,4,15,19,19,5,6,1,15,-16,1
