Team,Match Up,Game Date,Season,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
CLE,CLE vs. NYK,02/03/2020,,L,12,117.4,139.1,-21.7,72.7,4.0,25.8,0.0,53.8,31.8,8.7,69.4,65.4,92.0,44.2
MIA,MIA vs. PHI,02/03/2020,,W,12,200.0,152.6,47.4,78.6,5.5,33.3,50.0,33.3,37.5,10.0,97.2,99.0,78.0,64.3
PHI,PHI @ MIA,02/03/2020,,L,12,152.6,200.0,-47.4,58.3,2.33,20.6,66.7,50.0,62.5,15.8,58.7,59.6,78.0,35.7
DAL,DAL @ IND,02/03/2020,,W,12,125.0,113.0,12.0,44.4,2.0,11.8,42.9,80.0,62.1,8.3,47.8,56.6,94.0,55.7
IND,IND vs. DAL,02/03/2020,,L,12,113.0,125.0,-12.0,60.0,0.0,18.8,20.0,57.1,37.9,0.0,43.8,48.8,94.0,44.3
SAS,SAS @ LAC,02/03/2020,,L,12,95.8,100.0,-4.2,55.6,5.0,16.1,14.3,100.0,53.8,4.2,45.7,48.2,94.0,48.3
ATL,ATL vs. BOS,02/03/2020,,L,12,110.7,96.6,14.2,54.5,1.2,15.4,35.7,62.5,45.5,17.9,48.0,55.2,114.0,49.0
DEN,DEN @ DET,02/02/2020,,L,12,110.0,105.0,5.0,66.7,0.0,20.7,23.1,60.0,39.1,0.0,45.5,48.1,80.0,52.4
HOU,HOU vs. NOP,02/02/2020,,W,12,100.0,64.0,36.0,55.6,1.25,13.2,47.1,82.4,64.7,16.0,40.4,45.0,100.0,82.5
CHI,CHI @ TOR,02/02/2020,,L,12,73.9,147.8,-73.9,40.0,0.5,6.5,35.3,83.3,47.8,17.4,27.5,34.8,92.0,2.6
TOR,TOR vs. CHI,02/02/2020,,W,12,147.8,73.9,73.9,66.7,2.0,25.0,16.7,64.7,52.2,17.4,88.2,86.6,92.0,97.4
MIL,MIL vs. PHX,02/02/2020,,W,12,128.0,116.7,11.3,58.3,1.4,19.4,40.0,90.9,66.7,20.0,69.0,69.0,98.0,57.0
DET,DET vs. DEN,02/02/2020,,W,12,105.0,110.0,-5.0,55.6,1.67,17.2,40.0,76.9,60.9,15.0,50.0,52.8,80.0,47.6
PHX,PHX @ MIL,02/02/2020,,L,12,116.7,128.0,-11.3,40.0,4.0,13.8,9.1,60.0,33.3,4.2,54.8,59.2,98.0,43.0
NOP,NOP @ HOU,02/02/2020,,L,12,64.0,100.0,-36.0,20.0,0.5,3.4,17.6,52.9,35.3,8.0,22.7,30.8,100.0,17.5
MIA,MIA @ ORL,02/01/2020,,W,12,113.0,100.0,13.0,85.7,2.0,18.2,33.3,92.3,64.0,13.0,47.4,56.6,90.0,54.8
UTA,UTA @ POR,02/01/2020,,L,12,92.3,115.4,-23.1,36.4,0.8,11.8,28.6,69.2,48.1,19.2,48.0,48.0,104.0,33.8
MIN,MIN @ LAC,02/01/2020,,L,12,76.9,76.9,0.0,60.0,0.6,9.7,14.3,75.0,50.0,19.2,28.9,42.7,104.0,58.5
SAC,SAC vs. LAL,02/01/2020,,L,12,96.0,96.2,-0.2,55.6,1.0,15.2,21.4,81.8,48.0,20.0,47.6,50.8,102.0,46.8
BOS,BOS vs. PHI,02/01/2020,,W,12,136.4,121.7,14.6,50.0,2.5,16.7,27.3,50.0,39.1,9.1,60.5,64.1,90.0,55.3
LAC,LAC vs. MIN,02/01/2020,,W,12,76.9,76.9,0.0,62.5,2.5,13.9,25.0,85.7,50.0,7.7,35.7,35.7,104.0,41.5
ORL,ORL vs. MIA,02/01/2020,,L,12,100.0,113.0,-13.0,83.3,5.0,17.9,7.7,66.7,36.0,4.5,38.9,50.1,90.0,45.2
CLE,CLE vs. GSW,02/01/2020,,L,12,136.0,104.0,32.0,72.7,1.6,22.2,33.3,87.5,58.8,20.0,70.0,75.1,100.0,57.7
CHA,CHA @ SAS,02/01/2020,,L,12,69.6,145.8,-76.3,80.0,1.0,12.9,25.0,70.0,42.3,17.4,31.0,35.1,94.0,15.7
BKN,BKN @ WAS,02/01/2020,,L,12,92.0,128.0,-36.0,55.6,2.5,13.5,36.8,57.1,45.5,8.0,35.2,38.2,100.0,25.0
WAS,WAS vs. BKN,02/01/2020,,W,12,128.0,92.0,36.0,54.5,2.0,16.2,42.9,63.2,54.5,12.0,57.1,58.9,100.0,75.0
PHI,PHI @ BOS,02/01/2020,,L,12,121.7,136.4,-14.6,50.0,1.33,12.1,50.0,72.7,60.9,13.0,47.5,57.4,90.0,44.7
IND,IND vs. NYK,02/01/2020,,L,12,66.7,90.9,-24.2,80.0,2.0,16.0,0.0,75.0,34.6,9.5,33.3,36.2,86.0,22.2
GSW,GSW @ CLE,02/01/2020,,W,12,104.0,136.0,-32.0,85.7,1.5,18.8,12.5,66.7,41.2,16.0,50.0,64.1,100.0,42.3
SAS,SAS vs. CHA,02/01/2020,,W,12,145.8,69.6,76.3,64.3,3.0,25.0,30.0,75.0,57.7,12.5,71.7,72.0,94.0,84.3
NYK,NYK @ IND,02/01/2020,,W,12,90.9,66.7,24.2,22.2,1.0,7.4,25.0,100.0,65.4,9.1,42.9,45.7,86.0,77.8
DAL,DAL vs. ATL,02/01/2020,,W,12,100.0,112.0,-12.0,62.5,1.0,15.2,16.7,69.2,44.0,19.2,50.0,57.4,102.0,46.8
ATL,ATL @ DAL,02/01/2020,,L,12,112.0,100.0,12.0,70.0,1.75,19.4,30.8,83.3,56.0,16.0,50.0,55.8,102.0,53.2
POR,POR vs. UTA,02/01/2020,,W,12,115.4,92.3,23.1,30.0,1.0,9.1,30.8,71.4,51.9,11.5,54.8,59.1,104.0,66.2
LAL,LAL @ SAC,02/01/2020,,W,12,96.2,96.0,0.2,50.0,0.67,12.5,18.2,78.6,52.0,23.1,52.8,59.3,102.0,53.2
POR,POR @ LAL,01/31/2020,,W,12,96.0,88.5,7.5,27.3,1.0,9.7,21.4,75.0,52.9,12.0,47.9,48.2,102.0,59.0
MIL,MIL vs. DEN,01/31/2020,,L,12,96.0,112.5,-16.5,80.0,1.6,24.2,0.0,100.0,52.9,20.0,58.3,62.1,98.0,51.0
LAL,LAL vs. POR,01/31/2020,,L,12,88.5,96.0,-7.5,66.7,3.0,16.2,25.0,78.6,47.1,7.7,38.9,40.0,102.0,41.0
NOP,NOP vs. MEM,01/31/2020,,W,12,107.4,96.2,11.3,63.6,1.17,17.1,46.7,91.7,66.7,22.2,50.0,53.1,106.0,50.5
PHX,PHX vs. OKC,01/31/2020,,L,12,92.9,114.3,-21.4,57.1,0.57,10.8,40.0,66.7,51.9,25.0,40.5,50.3,112.0,24.7
HOU,HOU vs. DAL,01/31/2020,,W,12,112.5,150.0,-37.5,66.7,6.0,19.4,8.3,55.6,28.6,4.2,54.8,58.2,96.0,36.9
DEN,DEN @ MIL,01/31/2020,,W,12,112.5,96.0,16.5,40.0,1.0,14.3,0.0,100.0,47.1,16.7,63.2,66.4,98.0,49.0
MEM,MEM @ NOP,01/31/2020,,L,12,96.2,107.4,-11.3,60.0,2.0,18.2,8.3,53.3,33.3,11.5,47.6,51.0,106.0,49.5
DAL,DAL @ HOU,01/31/2020,,L,12,150.0,112.5,37.5,73.3,2.75,28.2,44.4,91.7,71.4,16.7,70.8,72.3,96.0,63.1
TOR,TOR @ DET,01/31/2020,,W,12,103.8,92.0,11.8,58.3,2.33,21.2,0.0,76.5,48.1,11.5,57.1,59.3,102.0,63.1
BKN,BKN vs. CHI,01/31/2020,,W,12,125.0,91.7,33.3,45.5,2.5,16.7,8.3,76.9,44.0,8.3,62.5,62.6,96.0,63.6
OKC,OKC @ PHX,01/31/2020,,W,12,114.3,92.9,21.4,70.0,1.4,17.9,33.3,60.0,48.1,17.9,50.0,60.6,112.0,75.3
CHI,CHI @ BKN,01/31/2020,,L,12,91.7,125.0,-33.3,50.0,2.0,12.9,23.1,91.7,56.0,8.3,42.9,46.5,96.0,36.4
DET,DET vs. TOR,01/31/2020,,L,12,92.0,103.8,-11.8,44.4,4.0,12.1,23.5,100.0,51.9,4.0,39.6,41.1,102.0,36.9
LAC,LAC vs. SAC,01/30/2020,,L,12,118.5,139.3,-20.8,77.8,1.0,19.4,22.2,72.7,50.0,25.9,64.7,69.1,110.0,37.3
TOR,TOR @ CLE,01/30/2020,,W,12,103.8,132.0,-28.2,62.5,1.0,13.5,40.0,58.3,48.1,19.2,43.2,52.0,102.0,36.4
GSW,GSW @ BOS,01/30/2020,,L,12,96.2,107.7,-11.5,100.0,1.75,21.2,0.0,70.0,33.3,15.4,47.2,56.9,104.0,47.1
PHI,PHI @ ATL,01/30/2020,,L,12,100.0,112.0,-12.0,66.7,4.0,12.9,14.3,66.7,34.8,4.0,36.8,48.8,100.0,43.8
CHA,CHA @ WAS,01/30/2020,,L,12,116.7,145.8,-29.2,72.7,2.67,21.1,42.9,50.0,45.0,12.5,52.0,53.2,96.0,32.8
ATL,ATL vs. PHI,01/30/2020,,W,12,112.0,100.0,12.0,70.0,1.4,20.0,33.3,85.7,65.2,20.0,61.1,65.1,100.0,56.2
CLE,CLE vs. TOR,01/30/2020,,L,12,132.0,103.8,28.2,46.2,1.5,16.7,41.7,60.0,51.9,16.0,62.5,64.1,102.0,63.6
BOS,BOS vs. GSW,01/30/2020,,W,12,107.7,96.2,11.5,40.0,0.67,12.1,30.0,100.0,66.7,23.1,60.0,64.3,104.0,52.9
SAC,SAC @ LAC,01/30/2020,,W,12,139.3,118.5,20.8,46.2,3.0,16.2,27.3,77.8,50.0,7.1,60.4,68.7,110.0,62.7
WAS,WAS vs. CHA,01/30/2020,,W,12,145.8,116.7,29.2,58.3,1.17,20.6,50.0,57.1,55.0,25.0,77.8,83.0,96.0,67.2
DEN,DEN vs. UTA,01/30/2020,,W,12,125.0,130.4,-5.4,75.0,6.0,18.2,27.3,66.7,50.0,4.2,47.4,58.6,94.0,58.5
UTA,UTA @ DEN,01/30/2020,,L,12,130.4,125.0,5.4,30.0,0.0,9.7,33.3,72.7,50.0,0.0,50.0,53.6,94.0,41.5
NYK,NYK vs. MEM,01/29/2020,,L,12,88.0,124.0,-36.0,60.0,0.33,9.1,45.5,75.0,60.9,36.0,36.7,53.1,100.0,34.3
CHI,CHI @ IND,01/29/2020,,L,12,80.0,83.3,-3.3,62.5,1.0,14.7,28.6,77.8,47.8,20.0,38.6,42.9,98.0,52.5
BKN,BKN vs. DET,01/29/2020,,W,12,113.0,95.7,17.4,50.0,2.5,15.6,26.7,100.0,50.0,8.7,50.0,50.5,92.0,52.6
IND,IND vs. CHI,01/29/2020,,W,12,83.3,80.0,3.3,25.0,0.29,7.1,22.2,71.4,52.2,29.2,50.0,53.3,98.0,47.5
SAC,SAC vs. OKC,01/29/2020,,L,12,104.3,100.0,4.3,55.6,2.5,14.7,37.5,83.3,57.1,8.7,40.0,44.8,94.0,48.8
SAS,SAS vs. UTA,01/29/2020,,W,12,116.0,100.0,16.0,40.0,1.0,12.9,20.0,60.0,44.0,16.0,60.5,64.4,102.0,53.2
UTA,UTA @ SAS,01/29/2020,,L,12,100.0,116.0,-16.0,55.6,1.67,13.5,40.0,80.0,56.0,11.5,42.9,48.7,102.0,46.8
POR,POR vs. HOU,01/29/2020,,W,12,112.0,120.0,-8.0,50.0,1.67,14.3,33.3,78.6,55.2,12.0,45.8,50.9,100.0,45.8
HOU,HOU @ POR,01/29/2020,,L,12,120.0,112.0,8.0,57.1,4.0,12.5,21.4,66.7,44.8,4.0,42.5,57.3,100.0,54.2
OKC,OKC @ SAC,01/29/2020,,W,12,100.0,104.3,-4.3,55.6,2.5,16.1,16.7,62.5,42.9,8.3,47.6,51.7,94.0,51.2
DET,DET @ BKN,01/29/2020,,L,12,95.7,113.0,-17.4,42.9,0.6,11.5,0.0,73.3,50.0,21.7,69.2,66.6,92.0,47.4
MEM,MEM @ NYK,01/29/2020,,W,12,124.0,88.0,36.0,54.5,2.0,17.6,25.0,54.5,39.1,12.0,59.1,61.8,100.0,65.7
WAS,WAS @ MIL,01/28/2020,,L,12,112.5,136.0,-23.5,54.5,2.0,17.1,35.7,72.7,52.0,12.5,50.0,51.5,98.0,38.0
GSW,GSW @ PHI,01/28/2020,,L,12,88.0,116.0,-28.0,85.7,6.0,18.8,5.9,80.0,33.3,4.0,42.5,45.9,100.0,31.0
MEM,MEM vs. DEN,01/28/2020,,W,12,91.7,130.4,-38.8,77.8,2.33,21.2,15.4,46.2,30.8,12.5,50.0,48.8,94.0,28.4
ATL,ATL @ TOR,01/28/2020,,L,12,114.8,117.9,-3.0,80.0,2.67,21.6,15.4,54.5,33.3,11.1,56.8,60.7,110.0,45.9
CHA,CHA vs. NYK,01/28/2020,,W,12,107.4,100.0,7.4,75.0,2.0,17.1,16.7,84.6,52.0,11.1,47.4,58.7,106.0,65.9
PHI,PHI vs. GSW,01/28/2020,,W,12,116.0,88.0,28.0,66.7,1.2,18.2,20.0,94.1,66.7,20.0,58.3,66.0,100.0,69.0
NOP,NOP @ CLE,01/28/2020,,W,12,91.3,91.3,0.0,55.6,1.25,15.6,28.6,83.3,53.8,17.4,45.5,45.9,92.0,49.4
NYK,NYK @ CHA,01/28/2020,,L,12,100.0,107.4,-7.4,70.0,1.4,20.0,15.4,83.3,48.0,19.2,54.5,55.7,106.0,34.1
DEN,DEN @ MEM,01/28/2020,,L,12,130.4,91.7,38.8,77.8,1.75,18.9,53.8,84.6,69.2,17.4,54.5,58.8,94.0,71.6
DAL,DAL vs. PHX,01/28/2020,,L,12,112.5,108.7,3.8,40.0,2.0,13.3,18.2,77.8,45.0,8.3,50.0,55.1,94.0,51.2
CLE,CLE vs. NOP,01/28/2020,,L,12,91.3,91.3,0.0,30.0,1.5,10.7,16.7,71.4,46.2,8.7,47.7,47.7,92.0,50.6
BOS,BOS @ MIA,01/28/2020,,W,12,120.8,108.7,12.1,62.5,1.67,15.6,25.0,75.0,50.0,12.5,58.8,65.1,94.0,61.0
MIL,MIL vs. WAS,01/28/2020,,W,12,136.0,112.5,23.5,83.3,5.0,26.3,27.3,64.3,48.0,8.0,59.1,64.4,98.0,62.0
MIA,MIA vs. BOS,01/28/2020,,L,12,108.7,120.8,-12.1,42.9,1.0,10.3,25.0,75.0,50.0,13.0,44.4,54.7,94.0,39.0
PHX,PHX @ DAL,01/28/2020,,W,12,108.7,112.5,-3.8,77.8,1.17,21.9,22.2,81.8,55.0,26.1,63.9,66.2,94.0,48.8
TOR,TOR vs. ATL,01/28/2020,,W,12,117.9,114.8,3.0,53.8,1.4,17.5,45.5,84.6,66.7,17.9,58.3,60.9,110.0,54.1
OKC,OKC vs. DAL,01/27/2020,,L,12,87.0,82.6,4.3,57.1,4.0,14.8,0.0,86.7,50.0,4.3,41.7,48.4,92.0,64.1
MIA,MIA vs. ORL,01/27/2020,,W,12,116.7,87.5,29.2,60.0,1.0,19.4,12.5,75.0,54.2,25.0,66.7,70.9,96.0,62.5
DET,DET vs. CLE,01/27/2020,,L,12,116.7,104.0,12.7,30.0,0.5,10.3,28.6,69.2,55.0,25.0,73.3,72.2,98.0,54.5
CHI,CHI vs. SAS,01/27/2020,,W,12,145.8,100.0,45.8,63.6,1.75,20.0,44.4,68.8,60.0,16.7,70.0,74.4,96.0,82.3
SAC,SAC @ MIN,01/27/2020,,W,12,151.9,78.6,73.3,46.2,1.5,17.1,22.2,76.9,54.5,14.8,78.6,82.1,110.0,83.3
ORL,ORL @ MIA,01/27/2020,,L,12,87.5,116.7,-29.2,66.7,4.0,12.5,25.0,87.5,45.8,4.2,31.0,40.6,96.0,37.5
DAL,DAL @ OKC,01/27/2020,,W,12,82.6,87.0,-4.3,62.5,2.5,16.7,13.3,100.0,50.0,8.7,41.3,41.3,92.0,35.9
UTA,UTA vs. HOU,01/27/2020,,L,12,135.5,125.8,9.7,53.8,2.33,17.1,27.3,58.3,43.5,9.7,64.6,69.6,124.0,52.7
CLE,CLE @ DET,01/27/2020,,W,12,104.0,116.7,-12.7,54.5,2.0,17.1,30.8,71.4,45.0,12.0,50.0,52.5,98.0,45.5
MIN,MIN vs. SAC,01/27/2020,,L,12,78.6,151.9,-73.3,50.0,0.38,8.8,23.1,77.8,45.5,28.6,43.8,50.6,110.0,16.7
HOU,HOU @ UTA,01/27/2020,,W,12,125.8,135.5,-9.7,66.7,1.0,14.3,41.7,72.7,56.5,19.4,58.3,68.3,124.0,47.3
SAS,SAS @ CHI,01/27/2020,,L,12,100.0,145.8,-45.8,25.0,1.0,6.5,31.3,55.6,40.0,8.3,42.5,46.7,96.0,17.7
PHX,PHX @ MEM,01/26/2020,,L,12,114.8,117.9,-3.0,62.5,0.83,13.9,40.0,80.0,60.0,22.2,50.0,63.0,110.0,53.3
ORL,ORL vs. LAC,01/26/2020,,L,12,100.0,103.8,-3.8,62.5,0.0,15.2,18.8,84.6,48.3,0.0,37.0,45.6,102.0,46.5
IND,IND @ POR,01/26/2020,,L,12,144.0,132.0,12.0,72.7,0.0,24.2,0.0,50.0,30.4,0.0,67.5,73.8,100.0,64.7
TOR,TOR @ SAS,01/26/2020,,W,12,96.0,87.5,8.5,75.0,0.0,17.1,26.3,75.0,45.2,0.0,37.0,41.1,98.0,53.3
MEM,MEM vs. PHX,01/26/2020,,W,12,117.9,114.8,3.0,41.7,1.25,14.3,20.0,60.0,40.0,14.3,61.9,66.1,110.0,46.7
NOP,NOP vs. BOS,01/26/2020,,W,12,114.3,100.0,14.3,84.6,2.2,26.8,18.2,100.0,60.9,17.9,65.2,65.8,110.0,66.4
WAS,WAS @ ATL,01/26/2020,,L,12,129.2,132.0,-2.8,54.5,6.0,19.4,9.1,62.5,31.6,4.2,59.1,64.0,98.0,50.0
POR,POR vs. IND,01/26/2020,,W,12,132.0,144.0,-12.0,50.0,0.83,13.5,50.0,100.0,69.6,24.0,56.5,62.2,100.0,35.3
LAC,LAC @ ORL,01/26/2020,,W,12,103.8,100.0,3.8,66.7,2.0,17.6,15.4,81.3,51.7,11.5,50.0,56.6,102.0,53.5
SAS,SAS vs. TOR,01/26/2020,,L,12,87.5,96.0,-8.5,57.1,0.8,12.9,25.0,73.7,54.8,20.8,42.1,48.5,98.0,46.7
ATL,ATL vs. WAS,01/26/2020,,W,12,132.0,129.2,2.8,33.3,0.8,12.5,37.5,90.9,68.4,20.0,70.0,74.3,98.0,50.0
BKN,BKN @ NYK,01/26/2020,,L,12,91.3,113.6,-22.3,50.0,1.0,10.3,23.1,60.0,39.1,13.0,41.2,49.1,90.0,35.3
HOU,HOU @ DEN,01/26/2020,,L,12,80.8,108.0,-27.2,40.0,0.57,11.8,30.8,75.0,52.0,26.9,47.7,46.8,102.0,25.6
DEN,DEN vs. HOU,01/26/2020,,W,12,108.0,80.8,27.2,77.8,1.75,20.0,25.0,69.2,48.0,16.0,50.0,57.1,102.0,74.4
NYK,NYK vs. BKN,01/26/2020,,W,12,113.6,91.3,22.3,41.7,1.67,16.1,40.0,76.9,60.9,13.6,54.5,54.6,90.0,64.7
BOS,BOS @ NOP,01/26/2020,,L,12,100.0,114.3,-14.3,50.0,1.25,15.6,0.0,81.8,39.1,14.8,52.5,56.3,110.0,33.6
DAL,DAL @ UTA,01/25/2020,,L,12,95.8,133.3,-37.5,44.4,4.0,12.9,18.8,76.9,44.8,4.2,43.8,44.6,96.0,27.7
UTA,UTA vs. DAL,01/25/2020,,W,12,133.3,95.8,37.5,54.5,6.0,18.2,23.1,81.3,55.2,4.2,60.9,63.5,96.0,72.3
DET,DET vs. BKN,01/25/2020,,L,12,120.8,108.3,12.5,63.6,3.5,19.4,35.7,54.5,44.0,8.3,50.0,53.3,96.0,51.6
CLE,CLE vs. CHI,01/25/2020,,L,12,120.0,76.0,44.0,83.3,2.5,27.0,20.0,84.6,56.5,16.0,64.3,65.9,100.0,81.9
PHI,PHI vs. LAL,01/25/2020,,W,12,104.5,85.7,18.8,33.3,0.5,11.1,28.6,76.9,60.0,27.3,63.3,66.9,86.0,68.4
CHI,CHI @ CLE,01/25/2020,,W,12,76.0,120.0,-44.0,33.3,0.4,6.9,15.4,80.0,43.5,20.0,41.2,44.4,100.0,18.1
MIN,MIN vs. OKC,01/25/2020,,L,12,133.3,95.7,37.7,83.3,10.0,28.6,10.0,88.9,47.4,4.2,63.6,67.3,94.0,71.4
BKN,BKN @ DET,01/25/2020,,W,12,108.3,120.8,-12.5,50.0,1.25,14.7,45.5,64.3,56.0,16.7,50.0,55.0,96.0,48.4
OKC,OKC @ MIN,01/25/2020,,W,12,95.7,133.3,-37.7,12.5,0.2,4.0,11.1,90.0,52.6,21.7,53.1,59.0,94.0,28.6
LAL,LAL @ PHI,01/25/2020,,L,12,85.7,104.5,-18.8,57.1,1.0,14.3,23.1,71.4,40.0,19.0,42.1,44.3,86.0,31.6
IND,IND @ GSW,01/24/2020,,W,12,119.2,123.1,-3.8,69.2,2.25,25.0,11.1,72.7,45.0,15.4,70.5,70.5,104.0,48.3
OKC,OKC vs. ATL,01/24/2020,,W,12,133.3,80.8,52.6,25.0,0.6,9.1,37.5,68.4,59.3,18.5,68.4,72.8,106.0,85.4
SAC,SAC @ CHI,01/24/2020,,W,12,95.8,50.0,45.8,66.7,1.0,14.3,0.0,83.3,45.5,16.7,40.6,55.2,96.0,100.0
DEN,DEN @ NOP,01/24/2020,,W,12,76.0,92.3,-16.3,80.0,0.44,11.4,46.2,71.4,59.3,36.0,33.3,45.1,102.0,39.6
TOR,TOR @ NYK,01/24/2020,,W,12,126.9,126.9,0.0,70.0,2.33,21.2,0.0,60.0,23.1,11.5,70.6,74.1,104.0,50.4
MIA,MIA vs. LAC,01/24/2020,,L,12,128.0,84.0,44.0,81.8,4.5,24.3,30.0,86.7,64.0,8.0,61.9,66.4,100.0,81.5
CHI,CHI vs. SAC,01/24/2020,,L,12,50.0,95.8,-45.8,50.0,0.29,7.1,16.7,100.0,54.5,29.2,28.1,33.8,96.0,0.0
GSW,GSW vs. IND,01/24/2020,,L,12,123.1,119.2,3.8,100.0,2.0,21.6,27.3,88.9,55.0,15.4,52.6,64.7,104.0,51.7
NYK,NYK vs. TOR,01/24/2020,,L,12,126.9,126.9,0.0,58.3,1.0,20.0,40.0,100.0,76.9,26.9,82.4,80.4,104.0,49.6
DET,DET vs. MEM,01/24/2020,,L,12,122.7,143.5,-20.8,55.6,0.0,16.7,21.4,42.9,28.6,0.0,52.4,55.1,90.0,30.9
NOP,NOP vs. DEN,01/24/2020,,L,12,92.3,76.0,16.3,44.4,1.0,11.8,28.6,53.8,40.7,15.4,45.7,48.5,102.0,60.4
ORL,ORL vs. BOS,01/24/2020,,L,12,95.5,122.7,-27.3,42.9,1.0,10.7,21.4,55.6,34.8,13.6,50.0,50.9,88.0,20.3
MEM,MEM @ DET,01/24/2020,,W,12,143.5,122.7,20.8,54.5,1.5,18.2,57.1,78.6,71.4,17.4,69.4,76.7,90.0,69.1
SAS,SAS vs. PHX,01/24/2020,,L,12,103.8,96.2,7.7,57.1,1.0,13.3,0.0,66.7,40.0,15.4,44.1,59.4,104.0,64.0
MIN,MIN vs. HOU,01/24/2020,,L,12,160.0,148.0,12.0,50.0,3.5,20.0,33.3,85.7,56.3,8.0,72.7,77.0,100.0,54.2
HOU,HOU @ MIN,01/24/2020,,W,12,148.0,160.0,-12.0,38.5,2.5,16.1,14.3,66.7,43.8,8.0,76.3,80.6,100.0,45.8
BOS,BOS @ ORL,01/24/2020,,W,12,122.7,95.5,27.3,57.1,0.8,13.3,44.4,78.6,65.2,22.7,53.1,64.8,88.0,79.7
CHA,CHA vs. MIL,01/24/2020,,L,12,100.0,158.3,-58.3,80.0,2.0,12.9,16.7,66.7,38.1,8.0,37.5,54.3,98.0,30.2
PHX,PHX @ SAS,01/24/2020,,W,12,96.2,103.8,-7.7,44.4,1.0,11.4,33.3,100.0,60.0,15.4,43.5,48.8,104.0,36.0
LAC,LAC @ MIA,01/24/2020,,W,12,84.0,128.0,-44.0,57.1,2.0,12.9,13.3,70.0,36.0,8.0,36.4,43.4,100.0,18.5
MIL,MIL @ CHA,01/24/2020,,W,12,158.3,100.0,58.3,60.0,4.5,25.0,33.3,83.3,61.9,8.3,70.8,73.8,98.0,69.8
ATL,ATL @ OKC,01/24/2020,,L,12,80.8,133.3,-52.6,55.6,1.25,13.5,31.6,62.5,40.7,15.4,35.2,37.1,106.0,14.6
DAL,DAL @ POR,01/23/2020,,W,12,120.0,145.8,-25.8,54.5,3.0,18.8,9.1,53.8,33.3,8.0,61.9,63.5,98.0,43.1
POR,POR vs. DAL,01/23/2020,,L,12,145.8,120.0,25.8,33.3,2.0,11.8,46.2,90.9,66.7,8.3,58.3,62.6,98.0,56.9
WAS,WAS @ CLE,01/23/2020,,W,12,96.0,104.0,-8.0,44.4,2.0,13.8,0.0,76.9,45.5,8.0,52.8,58.1,100.0,56.1
CLE,CLE vs. WAS,01/23/2020,,L,12,104.0,96.0,8.0,66.7,2.0,17.6,23.1,100.0,54.5,12.0,52.4,54.0,100.0,43.9
LAL,LAL @ BKN,01/23/2020,,W,12,96.0,76.0,20.0,44.4,1.0,12.9,16.7,100.0,61.5,16.0,47.6,52.7,100.0,65.0
BKN,BKN vs. LAL,01/23/2020,,L,12,76.0,96.0,-20.0,57.1,1.0,13.8,0.0,83.3,38.5,16.0,45.2,45.2,100.0,35.0
HOU,HOU vs. DEN,01/22/2020,,W,12,116.0,130.8,-14.8,77.8,1.17,20.0,30.0,72.7,52.4,24.0,60.5,65.7,102.0,45.7
GSW,GSW vs. UTA,01/22/2020,,L,12,103.8,107.4,-3.6,33.3,1.0,9.1,30.8,58.3,44.0,11.5,40.9,51.1,106.0,49.3
MEM,MEM @ BOS,01/22/2020,,L,12,123.1,80.0,43.1,58.3,2.33,20.6,11.1,84.6,54.5,11.5,67.5,69.3,102.0,73.5
BOS,BOS vs. MEM,01/22/2020,,W,12,80.0,123.1,-43.1,75.0,1.5,18.2,15.4,88.9,45.5,16.0,40.5,43.9,102.0,26.5
TOR,TOR vs. PHI,01/22/2020,,W,12,124.0,92.0,32.0,50.0,5.0,16.1,10.0,92.3,56.5,4.0,60.0,64.7,100.0,69.6
NOP,NOP vs. SAS,01/22/2020,,L,12,140.0,108.0,32.0,83.3,10.0,26.3,25.0,80.0,50.0,4.0,67.4,66.0,100.0,61.9
DEN,DEN @ HOU,01/22/2020,,L,12,130.8,116.0,14.8,46.2,3.0,17.1,27.3,70.0,47.6,7.7,60.4,64.9,102.0,54.3
ORL,ORL vs. OKC,01/22/2020,,L,12,96.2,103.7,-7.5,77.8,1.0,20.0,18.2,88.9,50.0,26.9,61.1,60.6,106.0,38.7
NYK,NYK vs. LAL,01/22/2020,,L,12,91.7,96.0,-4.3,66.7,1.0,17.1,35.7,80.0,58.6,25.0,47.6,47.4,98.0,38.4
ATL,ATL vs. LAC,01/22/2020,,W,12,150.0,90.9,59.1,27.3,0.0,9.4,46.7,100.0,70.4,0.0,52.0,57.9,88.0,77.5
CHI,CHI vs. MIN,01/22/2020,,W,12,144.0,129.2,14.8,58.3,1.75,18.9,55.6,64.3,60.9,16.0,69.0,72.1,98.0,56.0
PHX,PHX vs. IND,01/22/2020,,L,12,95.7,126.1,-30.4,60.0,3.0,11.1,6.7,100.0,36.4,4.3,34.2,47.0,92.0,28.2
OKC,OKC @ ORL,01/22/2020,,W,12,103.7,96.2,7.5,25.0,0.5,6.7,11.1,81.8,50.0,14.8,52.9,62.8,106.0,61.3
MIN,MIN @ CHI,01/22/2020,,L,12,129.2,144.0,-14.8,61.5,2.67,21.6,35.7,44.4,39.1,12.5,56.0,56.1,98.0,44.0
PHI,PHI @ TOR,01/22/2020,,L,12,92.0,124.0,-32.0,85.7,1.5,18.8,7.7,90.0,43.5,16.0,50.0,53.1,100.0,30.4
