index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
14,MIN,MIN @ HOU,2020-03-10,L,36,80,30,63,0.4761904761904762,11,27,0.4074074074074074,9,13,0.6923076923076923,6,28,34,14,17,7,0,18,-3,0,HOU,83,27,58,0.4655172413793103,9,28,0.32142857142857145,20,26,0.7692307692307693,3,21,24,15,14,8,4,13,78.27166666666668,78.27166666666668,104.36222222222223,102.2081212869706,106.04092583523197,-6,2020-03-10,21,26.666666666666668
15,MEM,MEM vs. ORL,2020-03-10,L,36,86,30,59,0.5084745762711864,9,21,0.42857142857142855,17,23,0.7391304347826086,6,24,30,19,17,6,5,16,1,1,ORL,85,32,72,0.4444444444444444,8,25,0.32,13,15,0.8666666666666667,11,21,32,21,13,9,3,17,77.92650793650793,77.92650793650793,103.90201058201058,110.36039247398344,109.07713209637897,-5,2020-03-10,21,28.666666666666668
16,LAL,LAL vs. BKN,2020-03-10,L,36,80,31,63,0.492063492063492,12,28,0.42857142857142855,6,9,0.6666666666666666,6,27,33,20,13,6,4,15,-7,1,BKN,87,31,71,0.4366197183098591,10,31,0.3225806451612903,15,17,0.8823529411764706,10,25,35,22,8,7,3,10,73.60266782911944,73.60266782911944,98.13689043882592,108.69171235169492,118.20223718246822,-2,2020-03-10,21,26.666666666666668
18,IND,IND vs. BOS,2020-03-10,L,36,80,34,69,0.4927536231884058,6,15,0.4,6,7,0.8571428571428571,7,25,32,18,11,4,5,14,-14,1,BOS,94,33,69,0.4782608695652174,12,28,0.42857142857142855,16,17,0.9411764705882352,7,26,33,17,6,8,4,9,74.1149053030303,74.1149053030303,98.81987373737373,107.94050086538947,126.83008851683262,-3,2020-03-10,21,26.666666666666668
19,HOU,HOU vs. MIN,2020-03-10,W,36,83,27,58,0.4655172413793103,9,28,0.32142857142857145,20,26,0.7692307692307693,3,21,24,15,14,8,4,13,3,1,MIN,80,30,63,0.4761904761904762,11,27,0.4074074074074074,9,13,0.6923076923076923,6,28,34,14,17,7,0,18,78.27166666666668,78.27166666666668,104.36222222222223,106.04092583523197,102.2081212869706,6,2020-03-10,21,27.666666666666668
21,DAL,DAL @ SAS,2020-03-10,L,36,85,33,69,0.4782608695652174,15,33,0.4545454545454545,4,4,1.0,5,29,34,21,12,6,3,13,2,0,SAS,83,33,68,0.4852941176470588,11,25,0.44,6,8,0.75,4,24,28,25,9,9,6,11,75.80961337513061,75.80961337513061,101.07948450017415,112.12298310953305,109.48479527166168,-10,2020-03-10,21,28.333333333333332
22,CLE,CLE @ CHI,2020-03-10,L,36,78,30,63,0.4761904761904762,2,17,0.1176470588235294,16,19,0.8421052631578947,7,22,29,23,13,6,5,9,0,0,CHI,78,33,68,0.4852941176470588,8,25,0.32,4,4,1.0,10,26,36,17,17,7,6,18,75.50343749999999,75.50343749999999,100.67124999999999,103.30655475123235,103.30655475123235,-5,2020-03-10,21,26.0
23,CHI,CHI vs. CLE,2020-03-10,W,36,78,33,68,0.4852941176470588,8,25,0.32,4,4,1.0,10,26,36,17,17,7,6,18,0,1,CLE,78,30,63,0.4761904761904762,2,17,0.1176470588235294,16,19,0.8421052631578947,7,22,29,23,13,6,5,9,75.50343749999999,75.50343749999999,100.67124999999999,103.30655475123235,103.30655475123235,5,2020-03-10,21,26.0
24,BOS,BOS @ IND,2020-03-10,W,36,94,33,69,0.4782608695652174,12,28,0.42857142857142855,16,17,0.9411764705882352,7,26,33,17,6,8,4,9,14,0,IND,80,34,69,0.4927536231884058,6,15,0.4,6,7,0.8571428571428571,7,25,32,18,11,4,5,14,74.1149053030303,74.1149053030303,98.81987373737373,126.83008851683262,107.94050086538947,3,2020-03-10,21,31.333333333333332
25,BKN,BKN @ LAL,2020-03-10,W,36,87,31,71,0.4366197183098591,10,31,0.3225806451612903,15,17,0.8823529411764706,10,25,35,22,8,7,3,10,7,0,LAL,80,31,63,0.492063492063492,12,28,0.42857142857142855,6,9,0.6666666666666666,6,27,33,20,13,6,4,15,73.60266782911944,73.60266782911944,98.13689043882592,118.20223718246822,108.69171235169492,2,2020-03-10,21,29.0
