Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
BKN,BKN vs. MIA,2020-01-10,W,12,28,8,20,40.0,3,10,30.0,9,12,75.0,4,8,12,8,0,1,1,2,4,1
ATL,ATL @ WAS,2020-01-10,L,12,22,10,24,41.7,2,9,22.2,0,1,0.0,3,9,12,4,4,0,1,6,-8,0
POR,POR @ MIN,2020-01-09,L,12,28,9,25,36.0,3,11,27.3,7,13,53.8,5,6,11,4,1,5,2,3,12,0
PHI,PHI vs. BOS,2020-01-09,W,12,32,12,21,57.1,2,3,66.7,6,7,85.7,5,11,16,5,3,0,2,2,14,1
OKC,OKC vs. HOU,2020-01-09,W,12,24,11,25,44.0,0,7,0.0,2,2,100.0,2,11,13,5,3,2,0,3,-1,1
MIN,MIN vs. POR,2020-01-09,W,12,16,7,16,43.8,2,6,33.3,0,0,0.0,3,13,16,2,9,1,3,12,-12,1
HOU,HOU @ OKC,2020-01-09,L,12,25,9,22,40.9,4,12,33.3,3,3,100.0,1,10,11,5,4,1,1,6,1,0
DET,DET vs. CLE,2020-01-09,L,12,19,8,19,42.1,2,4,50.0,1,2,50.0,3,8,11,4,7,1,3,5,-2,1
CLE,CLE @ DET,2020-01-09,W,12,21,9,21,42.9,0,7,0.0,3,4,75.0,4,7,11,6,3,5,2,4,2,0
BOS,BOS @ PHI,2020-01-09,L,12,18,8,21,38.1,1,7,14.3,1,1,100.0,2,4,6,3,3,1,0,8,-14,0
WAS,WAS @ ORL,2020-01-08,L,12,17,8,23,34.8,0,5,0.0,1,3,33.3,5,8,13,5,7,2,0,7,-9,0
UTA,UTA vs. NYK,2020-01-08,W,12,33,14,25,56.0,4,8,50.0,1,2,50.0,5,6,11,9,0,1,1,2,-2,1
TOR,TOR @ CHA,2020-01-08,W,12,18,8,24,33.3,2,10,20.0,0,3,0.0,7,9,16,5,1,0,1,9,-1,0
SAS,SAS @ BOS,2020-01-08,W,12,30,10,20,50.0,3,9,33.3,7,8,87.5,2,9,11,7,4,2,0,9,-1,0
ORL,ORL vs. WAS,2020-01-08,W,12,26,9,23,39.1,1,4,25.0,7,10,70.0,6,9,15,4,5,6,2,7,9,1
NYK,NYK @ UTA,2020-01-08,L,12,35,14,23,60.9,6,12,50.0,1,1,100.0,2,6,8,8,1,0,1,2,2,0
NOP,NOP vs. CHI,2020-01-08,W,12,31,10,19,52.6,4,7,57.1,7,9,77.8,2,6,8,6,2,2,2,4,-2,1
MIL,MIL @ GSW,2020-01-08,W,12,26,8,18,44.4,1,6,16.7,9,11,81.8,2,11,13,4,4,2,0,4,0,0
MIA,MIA @ IND,2020-01-08,W,12,22,9,22,40.9,3,9,33.3,1,2,50.0,1,5,6,6,4,3,2,9,-14,0
IND,IND vs. MIA,2020-01-08,L,12,36,13,23,56.5,2,7,28.6,8,11,72.7,3,12,15,6,4,2,1,1,14,1
HOU,HOU @ ATL,2020-01-08,W,12,23,6,22,27.3,1,12,8.3,10,12,83.3,4,8,12,3,2,0,3,7,-7,0
GSW,GSW vs. MIL,2020-01-08,L,12,26,9,22,40.9,3,11,27.3,5,5,100.0,1,7,8,6,2,3,1,8,0,1
DEN,DEN @ DAL,2020-01-08,W,12,21,8,21,38.1,2,5,40.0,3,4,75.0,4,8,12,4,2,2,2,5,4,0
DAL,DAL vs. DEN,2020-01-08,L,12,17,6,19,31.6,2,10,20.0,3,4,75.0,2,10,12,5,3,0,2,4,-4,1
CHI,CHI @ NOP,2020-01-08,L,12,33,13,24,54.2,6,11,54.5,1,2,50.0,3,6,9,6,2,2,1,7,2,0
CHA,CHA vs. TOR,2020-01-08,L,12,19,5,18,27.8,2,6,33.3,7,10,70.0,4,10,14,3,2,0,2,4,1,1
BOS,BOS vs. SAS,2020-01-08,L,12,31,9,21,42.9,4,7,57.1,9,11,81.8,5,9,14,6,3,1,0,6,1,1
ATL,ATL vs. HOU,2020-01-08,L,12,30,9,28,32.1,2,9,22.2,10,11,90.9,7,10,17,2,2,2,1,9,7,1
TOR,TOR vs. POR,2020-01-07,L,12,21,9,23,39.1,3,8,37.5,0,0,0.0,1,8,9,6,3,2,0,5,-11,1
SAC,SAC @ PHX,2020-01-07,W,12,36,11,21,52.4,4,7,57.1,10,12,83.3,1,10,11,4,3,2,1,6,20,0
POR,POR @ TOR,2020-01-07,W,12,32,12,19,63.2,6,8,75.0,2,3,66.7,0,8,8,9,3,0,3,2,11,0
