Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
CLE,CLE vs. CHA,2020-01-02,L,12,21,9,22,40.9,2,9,22.2,1,2,50.0,1,7,8,5,2,3,0,6,-6,1
CHI,CHI vs. UTA,2020-01-02,L,12,28,9,23,39.1,4,10,40.0,6,7,85.7,6,5,11,9,3,1,3,5,2,1
CHA,CHA @ CLE,2020-01-02,W,12,27,7,16,43.8,5,11,45.5,8,9,88.9,2,10,12,5,5,1,0,4,6,0
BKN,BKN @ DAL,2020-01-02,L,12,18,7,21,33.3,2,12,16.7,2,2,100.0,2,7,9,5,2,1,0,5,-12,0
WAS,WAS vs. ORL,2020-01-01,L,12,18,6,22,27.3,1,6,16.7,5,7,71.4,2,7,9,3,1,1,0,5,-10,1
POR,POR @ NYK,2020-01-01,L,12,16,7,22,31.8,1,6,16.7,1,2,50.0,1,9,10,3,3,1,0,3,-18,0
PHX,PHX @ LAL,2020-01-01,L,12,28,13,24,54.2,1,8,12.5,1,3,33.3,3,15,18,8,2,2,1,9,12,0
ORL,ORL @ WAS,2020-01-01,W,12,28,11,21,52.4,2,7,28.6,4,7,57.1,3,15,18,7,2,0,2,5,10,0
NYK,NYK vs. POR,2020-01-01,W,12,34,11,22,50.0,6,12,50.0,6,6,100.0,2,14,16,7,2,3,2,2,18,1
MIN,MIN @ MIL,2020-01-01,L,12,33,9,19,47.4,5,11,45.5,10,14,71.4,1,7,8,3,2,2,2,6,4,0
MIL,MIL vs. MIN,2020-01-01,W,12,29,12,26,46.2,4,12,33.3,1,4,25.0,2,10,12,7,5,1,4,9,-4,1
LAL,LAL vs. PHX,2020-01-01,W,12,16,3,21,14.3,1,9,11.1,9,13,69.2,6,10,16,1,2,0,0,3,-12,1
TOR,TOR vs. CLE,2019-12-31,W,12,31,9,18,50.0,4,9,44.4,9,12,75.0,2,6,8,7,2,1,1,1,3,1
SAS,SAS vs. GSW,2019-12-31,W,12,23,10,18,55.6,3,5,60.0,0,0,0.0,0,8,8,6,4,0,2,3,-2,1
SAC,SAC vs. LAC,2019-12-31,L,12,14,6,20,30.0,1,8,12.5,1,2,50.0,1,10,11,3,4,3,3,5,-3,1
PHI,PHI @ IND,2019-12-31,L,12,31,11,25,44.0,3,8,37.5,6,7,85.7,4,9,13,8,2,1,1,4,12,0
OKC,OKC vs. DAL,2019-12-31,W,12,29,9,17,52.9,1,3,33.3,10,12,83.3,3,10,13,3,3,2,1,2,6,1
LAC,LAC @ SAC,2019-12-31,W,12,17,5,18,27.8,3,12,25.0,4,4,100.0,2,12,14,3,5,2,1,4,3,0
IND,IND vs. PHI,2019-12-31,W,12,19,7,19,36.8,0,5,0.0,5,6,83.3,1,7,8,6,2,0,1,5,-12,1
HOU,HOU vs. DEN,2019-12-31,W,12,38,13,21,61.9,6,10,60.0,6,6,100.0,2,11,13,6,3,0,2,5,23,1
GSW,GSW @ SAS,2019-12-31,L,12,25,10,24,41.7,3,6,50.0,2,2,100.0,5,7,12,6,1,2,1,2,2,0
DEN,DEN @ HOU,2019-12-31,L,12,15,6,25,24.0,1,8,12.5,2,4,50.0,3,4,7,3,2,2,3,6,-23,0
DAL,DAL @ OKC,2019-12-31,L,12,23,8,24,33.3,5,17,29.4,2,2,100.0,6,6,12,5,3,1,1,8,-6,0
CLE,CLE @ TOR,2019-12-31,L,12,28,12,20,60.0,3,10,30.0,1,1,100.0,2,8,10,6,4,1,0,8,-3,0
CHA,CHA vs. BOS,2019-12-31,L,12,19,6,26,23.1,2,11,18.2,5,7,71.4,5,6,11,3,3,1,1,5,-10,1
BOS,BOS @ CHA,2019-12-31,W,12,29,12,24,50.0,2,5,40.0,3,3,100.0,5,13,18,6,3,2,3,5,10,0
WAS,WAS vs. MIA,2019-12-30,W,12,33,10,20,50.0,4,6,66.7,9,11,81.8,3,7,10,3,2,4,0,8,9,1
UTA,UTA vs. DET,2019-12-30,W,12,36,15,25,60.0,3,7,42.9,3,6,50.0,3,11,14,10,2,3,2,8,13,1
POR,POR vs. PHX,2019-12-30,L,12,27,12,23,52.2,1,6,16.7,2,3,66.7,2,4,6,5,1,0,1,5,-12,1
PHX,PHX @ POR,2019-12-30,W,12,39,15,24,62.5,4,4,100.0,5,5,100.0,3,8,11,10,1,0,1,3,12,0
ORL,ORL vs. ATL,2019-12-30,L,12,21,10,23,43.5,0,5,0.0,1,4,25.0,4,5,9,5,4,3,2,7,-6,1
MIN,MIN vs. BKN,2019-12-30,W,12,29,10,22,45.5,2,6,33.3,7,8,87.5,5,7,12,4,4,6,1,6,6,1
MIL,MIL @ CHI,2019-12-30,W,12,28,10,18,55.6,5,10,50.0,3,4,75.0,2,14,16,9,6,0,4,6,3,0
MIA,MIA @ WAS,2019-12-30,L,12,24,6,13,46.2,1,5,20.0,11,15,73.3,1,7,8,4,5,1,1,5,-9,0
DET,DET @ UTA,2019-12-30,L,12,23,6,16,37.5,2,4,50.0,9,13,69.2,0,8,8,3,4,2,2,5,-13,0
CHI,CHI vs. MIL,2019-12-30,L,12,25,9,25,36.0,5,10,50.0,2,4,50.0,2,6,8,7,0,3,0,5,-3,1
BKN,BKN @ MIN,2019-12-30,L,12,23,7,17,41.2,4,7,57.1,5,9,55.6,2,8,10,5,6,2,2,8,-6,0
ATL,ATL @ ORL,2019-12-30,W,12,27,8,19,42.1,2,7,28.6,9,10,90.0,5,10,15,1,9,3,1,5,6,0
TOR,TOR vs. OKC,2019-12-29,L,12,17,5,14,35.7,2,7,28.6,5,5,100.0,2,4,6,4,7,3,1,3,-5,1
SAC,SAC @ DEN,2019-12-29,L,12,34,13,21,61.9,6,13,46.2,2,2,100.0,2,6,8,11,3,1,1,10,2,0
OKC,OKC @ TOR,2019-12-29,W,12,22,9,16,56.3,2,5,40.0,2,2,100.0,2,6,8,3,5,3,1,5,5,0
NOP,NOP vs. HOU,2019-12-29,W,12,41,15,25,60.0,8,14,57.1,3,5,60.0,6,8,14,10,2,3,1,3,22,1
MEM,MEM vs. CHA,2019-12-29,W,12,31,12,23,52.2,1,5,20.0,6,6,100.0,6,10,16,9,4,0,1,6,2,1
LAL,LAL vs. DAL,2019-12-29,W,12,24,8,19,42.1,4,7,57.1,4,4,100.0,2,12,14,3,5,1,1,6,-2,1
HOU,HOU @ NOP,2019-12-29,L,12,19,9,19,47.4,0,5,0.0,1,3,33.3,1,4,5,6,5,1,0,4,-22,0
DEN,DEN vs. SAC,2019-12-29,W,12,32,10,20,50.0,1,6,16.7,11,12,91.7,4,6,10,5,2,0,0,2,-2,1
DAL,DAL @ LAL,2019-12-29,L,12,26,8,23,34.8,3,12,25.0,7,7,100.0,2,9,11,3,2,3,1,3,2,0
CHA,CHA @ MEM,2019-12-29,L,12,29,11,23,47.8,2,6,33.3,5,8,62.5,3,4,7,7,1,2,0,5,-2,0
WAS,WAS vs. NYK,2019-12-28,L,12,22,9,24,37.5,4,9,44.4,0,0,0.0,2,10,12,3,3,3,1,7,1,1
UTA,UTA @ LAC,2019-12-28,W,12,27,8,19,42.1,1,4,25.0,10,13,76.9,2,13,15,5,3,3,0,3,12,0
TOR,TOR @ BOS,2019-12-28,W,12,24,10,18,55.6,3,7,42.9,1,1,100.0,3,12,15,7,6,2,1,10,6,0
SAS,SAS vs. DET,2019-12-28,W,12,35,14,24,58.3,6,12,50.0,1,2,50.0,2,10,12,10,0,1,2,7,6,1
SAC,SAC vs. PHX,2019-12-28,L,12,33,10,17,58.8,4,7,57.1,9,12,75.0,1,6,7,6,2,1,2,5,2,1
POR,POR vs. LAL,2019-12-28,L,12,25,9,20,45.0,3,7,42.9,4,4,100.0,2,8,10,3,4,1,2,5,0,1
PHX,PHX @ SAC,2019-12-28,W,12,31,14,23,60.9,2,5,40.0,1,2,50.0,2,6,8,10,2,2,1,9,-2,0
PHI,PHI @ MIA,2019-12-28,L,12,29,12,21,57.1,4,5,80.0,1,4,25.0,3,11,14,5,2,0,1,7,6,0
ORL,ORL @ MIL,2019-12-28,L,12,26,9,20,45.0,2,9,22.2,6,8,75.0,0,4,4,4,1,7,2,3,-7,0
NYK,NYK @ WAS,2019-12-28,W,12,21,5,19,26.3,2,7,28.6,9,12,75.0,5,12,17,2,4,2,2,1,-1,0
NOP,NOP vs. IND,2019-12-28,W,12,34,12,27,44.4,7,14,50.0,3,4,75.0,6,8,14,7,2,2,1,5,4,1
MIN,MIN vs. CLE,2019-12-28,L,12,28,9,26,34.6,3,11,27.3,7,9,77.8,6,8,14,4,3,2,1,10,1,1
MIL,MIL vs. ORL,2019-12-28,W,12,33,13,21,61.9,7,11,63.6,0,1,0.0,5,9,14,8,8,0,2,4,7,1
MIA,MIA vs. PHI,2019-12-28,W,12,23,8,22,36.4,3,7,42.9,4,7,57.1,2,6,8,4,1,2,1,4,-6,1
MEM,MEM @ DEN,2019-12-28,L,12,42,16,26,61.5,7,15,46.7,3,4,75.0,3,6,9,14,3,2,0,11,5,0
LAL,LAL @ POR,2019-12-28,W,12,25,10,23,43.5,2,4,50.0,3,5,60.0,5,7,12,7,2,1,4,5,0,0
LAC,LAC vs. UTA,2019-12-28,L,12,15,4,20,20.0,2,10,20.0,5,6,83.3,2,7,9,2,3,0,3,8,-12,1
IND,IND @ NOP,2019-12-28,L,12,30,10,20,50.0,3,5,60.0,7,9,77.8,2,10,12,6,4,1,0,2,-4,0
HOU,HOU vs. BKN,2019-12-28,W,12,20,8,24,33.3,2,11,18.2,2,4,50.0,3,9,12,3,4,2,1,5,1,1
GSW,GSW vs. DAL,2019-12-28,L,12,23,8,19,42.1,2,6,33.3,5,6,83.3,2,14,16,4,6,0,1,5,-1,1
DET,DET @ SAS,2019-12-28,L,12,29,9,21,42.9,4,9,44.4,7,11,63.6,4,8,12,6,3,0,2,3,-6,0
DEN,DEN vs. MEM,2019-12-28,W,12,37,11,16,68.8,1,2,50.0,14,19,73.7,2,6,8,7,3,2,1,5,-5,1
DAL,DAL @ GSW,2019-12-28,W,12,24,8,24,33.3,2,13,15.4,6,6,100.0,1,10,11,5,1,5,1,6,1,0
CLE,CLE @ MIN,2019-12-28,W,12,27,7,17,41.2,1,4,25.0,12,15,80.0,2,12,14,4,6,2,1,8,-1,0
CHI,CHI vs. ATL,2019-12-28,W,12,33,11,23,47.8,5,9,55.6,6,7,85.7,4,6,10,4,0,5,2,3,17,1
BOS,BOS vs. TOR,2019-12-28,L,12,18,4,21,19.0,0,12,0.0,10,12,83.3,6,5,11,1,2,2,1,4,-6,1
BKN,BKN @ HOU,2019-12-28,L,12,19,7,23,30.4,1,11,9.1,4,6,66.7,3,10,13,3,4,2,1,5,-1,0
ATL,ATL @ CHI,2019-12-28,L,12,16,7,20,35.0,2,9,22.2,0,0,0.0,3,6,9,5,7,0,1,6,-17,0
PHX,PHX @ GSW,2019-12-27,L,12,18,6,18,33.3,0,9,0.0,6,8,75.0,3,5,8,2,5,0,0,9,-21,0
PHI,PHI @ ORL,2019-12-27,L,12,29,10,26,38.5,5,12,41.7,4,6,66.7,3,8,11,9,2,2,1,10,2,0
ORL,ORL vs. PHI,2019-12-27,W,12,27,9,18,50.0,2,7,28.6,7,13,53.8,2,11,13,7,4,1,1,5,-2,1
OKC,OKC @ CHA,2019-12-27,W,12,22,8,18,44.4,0,8,0.0,6,7,85.7,1,7,8,2,5,2,1,3,-7,0
MIL,MIL @ ATL,2019-12-27,W,12,28,12,23,52.2,2,6,33.3,2,3,66.7,1,13,14,7,6,4,2,3,5,0
MIA,MIA vs. IND,2019-12-27,W,12,29,12,24,50.0,3,9,33.3,2,2,100.0,4,10,14,6,3,0,1,2,-1,1
IND,IND @ MIA,2019-12-27,L,12,30,12,25,48.0,4,10,40.0,2,2,100.0,2,7,9,6,0,1,2,2,1,0
GSW,GSW vs. PHX,2019-12-27,W,12,39,12,22,54.5,3,9,33.3,12,14,85.7,4,10,14,7,1,2,0,5,21,1
CLE,CLE @ BOS,2019-12-27,L,12,36,13,20,65.0,2,4,50.0,8,11,72.7,1,6,7,6,2,3,1,4,-1,0
CHA,CHA vs. OKC,2019-12-27,L,12,29,13,25,52.0,3,9,33.3,0,0,0.0,4,8,12,6,4,3,0,5,7,1
BOS,BOS vs. CLE,2019-12-27,W,12,37,14,23,60.9,5,10,50.0,4,5,80.0,4,5,9,7,4,0,2,8,1,1
ATL,ATL vs. MIL,2019-12-27,L,12,23,9,23,39.1,3,10,30.0,2,4,50.0,1,9,10,5,5,3,2,3,-5,1
WAS,WAS @ DET,2019-12-26,L,12,26,11,22,50.0,3,5,60.0,1,2,50.0,4,6,10,7,6,3,2,4,0,0
UTA,UTA vs. POR,2019-12-26,W,12,25,8,16,50.0,2,9,22.2,7,10,70.0,2,7,9,5,6,0,1,4,-14,1
SAS,SAS @ DAL,2019-12-26,L,12,24,9,18,50.0,3,9,33.3,3,3,100.0,0,10,10,5,4,3,1,4,1,0
SAC,SAC vs. MIN,2019-12-26,L,12,11,4,23,17.4,1,5,20.0,2,2,100.0,4,9,13,1,3,2,2,6,-8,1
POR,POR @ UTA,2019-12-26,L,12,39,16,25,64.0,5,9,55.6,2,2,100.0,2,9,11,4,1,3,0,8,14,0
OKC,OKC vs. MEM,2019-12-26,L,12,23,9,20,45.0,2,9,22.2,3,4,75.0,1,6,7,5,2,1,0,3,-1,1
NYK,NYK @ BKN,2019-12-26,W,12,15,6,17,35.3,0,5,0.0,3,4,75.0,3,12,15,3,5,0,0,8,-6,0
MIN,MIN @ SAC,2019-12-26,W,12,19,5,17,29.4,1,6,16.7,8,8,100.0,2,12,14,2,3,3,2,3,8,0
MEM,MEM @ OKC,2019-12-26,W,12,24,11,21,52.4,1,4,25.0,1,2,50.0,2,8,10,4,2,0,0,3,1,0
DET,DET vs. WAS,2019-12-26,W,12,26,10,20,50.0,4,9,44.4,2,2,100.0,0,8,8,6,5,3,1,3,0,1
DAL,DAL vs. SAS,2019-12-26,W,12,23,8,19,42.1,7,14,50.0,0,2,0.0,2,9,11,7,5,3,1,2,-1,1
BKN,BKN vs. NYK,2019-12-26,L,12,21,5,21,23.8,3,14,21.4,8,11,72.7,5,8,13,4,0,0,0,5,6,1
TOR,TOR vs. BOS,2019-12-25,L,12,33,12,24,50.0,2,5,40.0,7,7,100.0,2,8,10,3,2,3,2,3,3,1
PHI,PHI vs. MIL,2019-12-25,W,12,21,7,26,26.9,4,13,30.8,3,3,100.0,5,4,9,3,1,2,1,4,-15,1
NOP,NOP @ DEN,2019-12-25,W,12,28,10,27,37.0,6,10,60.0,2,2,100.0,6,11,17,7,1,2,1,2,8,0
MIL,MIL @ PHI,2019-12-25,L,12,36,15,23,65.2,5,7,71.4,1,1,100.0,3,13,16,7,2,0,0,3,15,0
LAL,LAL vs. LAC,2019-12-25,L,12,20,8,22,36.4,3,13,23.1,1,3,33.3,2,8,10,3,3,2,1,7,-5,1
LAC,LAC @ LAL,2019-12-25,W,12,25,7,20,35.0,1,9,11.1,10,10,100.0,4,9,13,4,2,1,2,5,5,0
HOU,HOU @ GSW,2019-12-25,L,12,17,6,20,30.0,2,11,18.2,3,5,60.0,1,10,11,2,3,1,2,10,-7,0
GSW,GSW vs. HOU,2019-12-25,W,12,24,6,16,37.5,4,10,40.0,8,10,80.0,1,12,13,5,4,0,1,4,7,1
DEN,DEN vs. NOP,2019-12-25,L,12,20,7,21,33.3,4,14,28.6,2,2,100.0,3,8,11,5,2,0,2,4,-8,1
BOS,BOS @ TOR,2019-12-25,W,12,30,12,23,52.2,2,10,20.0,4,5,80.0,2,8,10,5,5,2,2,6,-3,0
WAS,WAS @ NYK,2019-12-23,W,12,27,8,20,40.0,2,9,22.2,9,13,69.2,1,8,9,6,2,3,1,3,3,0
UTA,UTA @ MIA,2019-12-23,L,12,23,9,25,36.0,3,13,23.1,2,2,100.0,4,7,11,4,3,1,0,6,-8,0
TOR,TOR @ IND,2019-12-23,L,12,28,9,18,50.0,4,10,40.0,6,10,60.0,3,6,9,6,1,2,2,4,-1,0
SAS,SAS @ MEM,2019-12-23,W,12,37,16,22,72.7,3,6,50.0,2,3,66.7,2,11,13,10,5,3,0,4,11,0
SAC,SAC vs. HOU,2019-12-23,L,12,25,10,18,55.6,1,7,14.3,4,9,44.4,3,12,15,3,4,2,2,8,9,1
POR,POR vs. NOP,2019-12-23,L,12,17,6,21,28.6,2,11,18.2,3,4,75.0,2,10,12,3,2,1,0,3,-3,1
PHX,PHX vs. DEN,2019-12-23,L,12,30,11,20,55.0,4,9,44.4,4,4,100.0,0,8,8,8,6,2,0,8,-1,1
PHI,PHI @ DET,2019-12-23,W,12,31,13,24,54.2,3,9,33.3,2,2,100.0,4,6,10,7,3,3,2,5,8,0
ORL,ORL vs. CHI,2019-12-23,W,12,20,9,19,47.4,2,7,28.6,0,0,0.0,1,13,14,6,5,2,7,4,6,1
NYK,NYK vs. WAS,2019-12-23,L,12,24,10,26,38.5,2,11,18.2,2,2,100.0,6,10,16,5,4,1,1,9,-3,1
NOP,NOP @ POR,2019-12-23,W,12,20,8,22,36.4,3,8,37.5,1,2,50.0,3,13,16,4,3,0,0,4,3,0
MIN,MIN @ GSW,2019-12-23,L,12,37,14,27,51.9,5,10,50.0,4,5,80.0,4,6,10,6,3,4,0,5,8,0
MIA,MIA vs. UTA,2019-12-23,W,12,31,11,21,52.4,3,5,60.0,6,6,100.0,3,11,14,3,3,2,1,3,8,1
MEM,MEM vs. SAS,2019-12-23,L,12,26,10,21,47.6,3,8,37.5,3,5,60.0,1,3,4,6,4,3,0,4,-11,1
IND,IND vs. TOR,2019-12-23,W,12,29,11,19,57.9,4,7,57.1,3,3,100.0,1,7,8,7,3,0,0,7,1,1
HOU,HOU @ SAC,2019-12-23,W,12,16,3,17,17.6,3,11,27.3,7,8,87.5,2,6,8,1,4,2,1,7,-9,0
GSW,GSW vs. MIN,2019-12-23,W,12,29,8,15,53.3,4,6,66.7,9,10,90.0,0,8,8,7,8,1,1,8,-8,1
DET,DET vs. PHI,2019-12-23,L,12,23,9,17,52.9,0,4,0.0,5,7,71.4,2,7,9,4,5,3,0,2,-8,1
DEN,DEN @ PHX,2019-12-23,W,12,31,9,17,52.9,3,5,60.0,10,11,90.9,1,8,9,7,5,3,1,4,1,0
CLE,CLE vs. ATL,2019-12-23,W,12,27,11,19,57.9,3,8,37.5,2,2,100.0,0,11,11,4,7,3,1,5,3,1
CHI,CHI @ ORL,2019-12-23,L,12,14,6,25,24.0,2,8,25.0,0,0,0.0,5,9,14,1,3,2,0,1,-6,0
ATL,ATL @ CLE,2019-12-23,L,12,24,7,19,36.8,6,13,46.2,4,6,66.7,0,7,7,3,5,3,2,4,-3,0
TOR,TOR vs. DAL,2019-12-22,W,12,47,14,25,56.0,6,11,54.5,13,14,92.9,3,10,13,5,2,5,2,9,26,1
OKC,OKC vs. LAC,2019-12-22,W,12,32,12,24,50.0,2,5,40.0,6,6,100.0,5,7,12,6,2,4,4,4,9,1
MIL,MIL vs. IND,2019-12-22,W,12,34,14,28,50.0,5,14,35.7,1,2,50.0,5,12,17,12,1,2,1,3,18,1
LAL,LAL vs. DEN,2019-12-22,L,12,26,10,16,62.5,4,6,66.7,2,2,100.0,1,4,5,6,6,2,3,8,-11,1
LAC,LAC @ OKC,2019-12-22,L,12,23,9,22,40.9,0,3,0.0,5,5,100.0,4,6,10,2,6,2,1,8,-9,0
IND,IND @ MIL,2019-12-22,L,12,16,7,23,30.4,1,9,11.1,1,2,50.0,3,7,10,4,3,0,0,3,-18,0
DEN,DEN @ LAL,2019-12-22,W,12,37,13,23,56.5,4,11,36.4,7,10,70.0,6,5,11,10,3,4,0,4,11,0
DAL,DAL @ TOR,2019-12-22,L,12,21,5,18,27.8,1,10,10.0,10,11,90.9,2,5,7,3,7,0,1,9,-26,0
CHA,CHA @ BOS,2019-12-22,L,12,16,5,22,22.7,2,11,18.2,4,4,100.0,0,6,6,3,1,0,1,3,-19,0
BOS,BOS vs. CHA,2019-12-22,W,12,35,15,22,68.2,4,8,50.0,1,2,50.0,1,15,16,9,3,1,3,5,19,1
WAS,WAS @ PHI,2019-12-21,L,12,28,10,19,52.6,1,4,25.0,7,9,77.8,0,6,6,4,3,1,0,5,-9,0
UTA,UTA @ CHA,2019-12-21,W,12,30,11,21,52.4,4,9,44.4,4,4,100.0,2,11,13,9,6,2,0,8,9,0
SAS,SAS vs. LAC,2019-12-21,L,12,26,10,19,52.6,2,4,50.0,4,7,57.1,0,11,11,6,4,3,3,5,2,1
SAC,SAC @ MEM,2019-12-21,L,12,37,13,32,40.6,4,13,30.8,7,9,77.8,8,8,16,5,1,5,1,9,9,0
POR,POR vs. MIN,2019-12-21,W,12,30,10,22,45.5,2,8,25.0,8,8,100.0,1,9,10,3,4,2,3,5,4,1
PHX,PHX vs. HOU,2019-12-21,L,12,30,9,25,36.0,2,6,33.3,10,14,71.4,5,10,15,2,1,2,0,3,-3,1
PHI,PHI vs. WAS,2019-12-21,W,12,37,14,23,60.9,6,10,60.0,3,4,75.0,3,6,9,8,2,1,1,7,9,1
NYK,NYK vs. MIL,2019-12-21,L,12,32,12,23,52.2,2,7,28.6,6,7,85.7,0,7,7,6,4,2,4,10,4,1
MIN,MIN @ POR,2019-12-21,L,12,26,9,24,37.5,6,13,46.2,2,2,100.0,3,8,11,5,5,2,2,6,-4,0
MIL,MIL @ NYK,2019-12-21,W,12,28,8,19,42.1,2,5,40.0,10,17,58.8,3,9,12,4,6,2,3,3,-4,0
MEM,MEM vs. SAC,2019-12-21,W,12,28,7,16,43.8,1,5,20.0,13,16,81.3,3,9,12,4,6,1,3,5,-9,1
LAC,LAC @ SAS,2019-12-21,W,12,24,10,24,41.7,3,11,27.3,1,3,33.3,3,8,11,5,4,2,1,4,-2,0
HOU,HOU @ PHX,2019-12-21,W,12,33,11,23,47.8,8,17,47.1,3,3,100.0,1,12,13,5,3,0,3,9,3,0
DET,DET vs. CHI,2019-12-21,L,12,18,7,19,36.8,4,9,44.4,0,0,0.0,2,5,7,6,5,3,1,9,-8,1
CHI,CHI @ DET,2019-12-21,W,12,26,6,18,33.3,4,9,44.4,10,10,100.0,5,8,13,3,5,3,0,3,8,0
CHA,CHA vs. UTA,2019-12-21,L,12,21,7,20,35.0,1,4,25.0,6,8,75.0,3,7,10,2,5,4,2,7,-9,1
BKN,BKN vs. ATL,2019-12-21,W,12,37,13,22,59.1,2,6,33.3,9,13,69.2,3,21,24,4,7,3,1,3,23,1
ATL,ATL @ BKN,2019-12-21,L,12,14,6,26,23.1,0,14,0.0,2,3,66.7,0,6,6,1,3,5,0,9,-23,0
WAS,WAS @ TOR,2019-12-20,L,12,33,12,21,57.1,5,12,41.7,4,6,66.7,1,6,7,6,1,3,0,9,7,0
TOR,TOR vs. WAS,2019-12-20,W,12,26,6,13,46.2,2,5,40.0,12,15,80.0,2,8,10,4,6,1,0,6,-7,1
SAC,SAC @ IND,2019-12-20,L,12,26,9,23,39.1,2,8,25.0,6,7,85.7,3,6,9,5,2,1,2,2,-1,0
POR,POR vs. ORL,2019-12-20,W,12,25,7,18,38.9,4,6,66.7,7,9,77.8,3,7,10,3,4,1,0,5,-3,1
PHX,PHX @ OKC,2019-12-20,L,12,17,7,28,25.0,1,8,12.5,2,2,100.0,9,6,15,6,5,4,1,5,-8,0
PHI,PHI vs. DAL,2019-12-20,L,12,21,9,24,37.5,3,13,23.1,0,0,0.0,7,6,13,6,4,2,1,7,-8,1
ORL,ORL @ POR,2019-12-20,L,12,28,10,22,45.5,2,6,33.3,6,7,85.7,4,9,13,6,4,3,1,6,3,0
OKC,OKC vs. PHX,2019-12-20,W,12,25,11,21,52.4,1,3,33.3,2,2,100.0,2,8,10,5,4,3,4,3,8,1
NYK,NYK @ MIA,2019-12-20,L,12,40,13,20,65.0,5,9,55.6,9,10,90.0,0,8,8,10,1,4,2,8,9,0
NOP,NOP @ GSW,2019-12-20,L,12,21,7,21,33.3,2,9,22.2,5,8,62.5,5,7,12,4,3,3,2,8,-7,0
MIN,MIN @ DEN,2019-12-20,L,12,25,10,19,52.6,3,10,30.0,2,2,100.0,1,8,9,6,5,1,3,1,-2,0
MIA,MIA vs. NYK,2019-12-20,W,12,31,10,20,50.0,5,10,50.0,6,11,54.5,5,6,11,6,5,1,1,5,-9,1
MEM,MEM @ CLE,2019-12-20,L,12,20,8,29,27.6,3,13,23.1,1,2,50.0,5,10,15,6,3,0,2,7,-13,0
IND,IND vs. SAC,2019-12-20,W,12,27,11,23,47.8,4,9,44.4,1,2,50.0,2,11,13,10,2,0,0,5,1,1
GSW,GSW vs. NOP,2019-12-20,W,12,28,6,18,33.3,2,7,28.6,14,14,100.0,4,9,13,1,3,1,1,5,7,1
DET,DET @ BOS,2019-12-20,L,12,24,9,22,40.9,2,8,25.0,4,4,100.0,1,8,9,5,3,3,0,3,1,0
DEN,DEN vs. MIN,2019-12-20,W,12,27,11,20,55.0,4,8,50.0,1,2,50.0,1,5,6,6,4,3,1,4,2,1
DAL,DAL @ PHI,2019-12-20,W,12,29,10,16,62.5,2,4,50.0,7,8,87.5,1,7,8,4,3,3,2,2,8,0
CLE,CLE vs. MEM,2019-12-20,W,12,33,10,24,41.7,3,6,50.0,10,15,66.7,6,14,20,5,0,2,6,4,13,1
BOS,BOS vs. DET,2019-12-20,W,12,23,10,21,47.6,1,5,20.0,2,5,40.0,3,12,15,5,5,1,2,5,-1,1
UTA,UTA @ ATL,2019-12-19,W,12,28,12,26,46.2,2,7,28.6,2,6,33.3,6,11,17,4,3,3,2,3,6,0
SAS,SAS vs. BKN,2019-12-19,W,12,35,13,26,50.0,3,7,42.9,6,6,100.0,5,8,13,7,1,2,0,7,11,1
MIL,MIL vs. LAL,2019-12-19,W,12,22,6,15,40.0,3,8,37.5,7,10,70.0,3,8,11,4,7,4,2,6,-1,1
LAL,LAL @ MIL,2019-12-19,L,12,23,8,17,47.1,2,7,28.6,5,5,100.0,0,7,7,7,5,1,1,7,1,0
LAC,LAC vs. HOU,2019-12-19,L,12,30,12,23,52.2,5,11,45.5,1,1,100.0,2,8,10,8,5,1,2,8,-2,1
HOU,HOU @ LAC,2019-12-19,W,12,32,9,21,42.9,3,9,33.3,11,14,78.6,4,9,13,2,3,3,0,5,2,0
BKN,BKN @ SAS,2019-12-19,L,12,24,6,18,33.3,0,11,0.0,12,13,92.3,2,8,10,2,5,0,0,8,-11,0
ATL,ATL vs. UTA,2019-12-19,L,12,22,8,23,34.8,4,9,44.4,2,2,100.0,2,9,11,4,5,1,0,5,-6,1
WAS,WAS vs. CHI,2019-12-18,L,12,13,5,21,23.8,1,8,12.5,2,4,50.0,4,11,15,3,7,0,1,3,-12,1
TOR,TOR @ DET,2019-12-18,W,12,16,5,21,23.8,2,10,20.0,4,5,80.0,2,9,11,4,2,2,0,5,-4,0
POR,POR vs. GSW,2019-12-18,W,12,25,10,25,40.0,3,10,30.0,2,2,100.0,2,13,15,5,1,3,1,4,5,1
PHI,PHI vs. MIA,2019-12-18,L,12,30,11,24,45.8,5,11,45.5,3,3,100.0,5,6,11,8,4,2,2,6,4,1
ORL,ORL @ DEN,2019-12-18,L,12,28,11,19,57.9,4,7,57.1,2,2,100.0,0,4,4,7,2,1,1,3,-1,0
OKC,OKC vs. MEM,2019-12-18,W,12,33,11,21,52.4,1,4,25.0,10,10,100.0,4,6,10,5,4,4,1,4,11,1
NOP,NOP @ MIN,2019-12-18,W,12,20,7,22,31.8,3,8,37.5,3,3,100.0,7,9,16,2,5,1,0,4,-7,0
MIN,MIN vs. NOP,2019-12-18,L,12,27,11,23,47.8,3,13,23.1,2,4,50.0,1,7,8,7,1,1,1,5,7,1
