Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
DAL,DAL vs. MIN,12/04/2019,,W,12,27,9,23,39.1,1,7,14.3,8,9,88.9,5,10,15,5,2,1,1,1,-1
MIA,MIA @ BOS,12/04/2019,,L,12,25,8,17,47.1,4,10,40.0,5,7,71.4,2,6,8,5,5,1,0,7,-5
POR,POR vs. SAC,12/04/2019,,W,12,34,9,16,56.3,5,10,50.0,11,12,91.7,1,7,8,5,5,2,2,6,3
CHI,CHI vs. MEM,12/04/2019,,W,12,28,8,19,42.1,2,9,22.2,10,13,76.9,3,8,11,5,4,2,3,6,-1
IND,IND @ OKC,12/04/2019,,W,12,30,13,24,54.2,2,7,28.6,2,2,100.0,6,8,14,7,3,1,0,6,2
UTA,UTA vs. LAL,12/04/2019,,L,12,28,10,20,50.0,1,6,16.7,7,9,77.8,3,9,12,3,6,1,0,5,-1
ORL,ORL vs. PHX,12/04/2019,,W,12,38,14,21,66.7,5,7,71.4,5,6,83.3,0,11,11,7,2,2,2,5,10
OKC,OKC vs. IND,12/04/2019,,L,12,28,11,22,50.0,5,10,50.0,1,1,100.0,3,4,7,8,2,0,0,5,-2
MIL,MIL @ DET,12/04/2019,,W,12,33,10,22,45.5,2,8,25.0,11,11,100.0,1,13,14,6,4,2,3,3,9
DET,DET vs. MIL,12/04/2019,,L,12,24,9,23,39.1,3,10,30.0,3,4,75.0,0,9,9,7,4,2,0,7,-9
LAL,LAL @ UTA,12/04/2019,,W,12,29,12,22,54.5,0,4,0.0,5,6,83.3,1,7,8,7,1,5,3,6,1
SAC,SAC @ POR,12/04/2019,,L,12,31,11,22,50.0,1,6,16.7,8,11,72.7,4,5,9,9,2,3,2,7,-3
MIN,MIN @ DAL,12/04/2019,,L,12,28,10,23,43.5,5,13,38.5,3,3,100.0,3,9,12,5,3,1,2,7,1
MEM,MEM @ CHI,12/04/2019,,L,12,29,9,19,47.4,3,5,60.0,8,9,88.9,2,9,11,5,4,3,1,9,1
GSW,GSW @ CHA,12/04/2019,,L,12,22,8,22,36.4,1,6,16.7,5,8,62.5,3,7,10,5,3,2,0,1,-6
PHX,PHX @ ORL,12/04/2019,,L,12,28,10,21,47.6,5,6,83.3,3,7,42.9,2,5,7,10,2,1,0,5,-10
BKN,BKN @ ATL,12/04/2019,,W,12,35,13,25,52.0,3,6,50.0,6,6,100.0,4,10,14,6,2,1,2,6,0
BOS,BOS vs. MIA,12/04/2019,,W,12,30,9,24,37.5,5,12,41.7,7,8,87.5,8,8,16,6,1,1,3,7,5
CHA,CHA vs. GSW,12/04/2019,,W,12,28,11,23,47.8,6,11,54.5,0,0,0.0,2,11,13,10,4,3,3,6,6
ATL,ATL vs. BKN,12/04/2019,,L,12,35,13,22,59.1,3,4,75.0,6,10,60.0,2,6,8,6,1,2,2,4,0
WAS,WAS vs. ORL,12/03/2019,,L,12,34,13,23,56.5,6,12,50.0,2,2,100.0,1,9,10,6,2,2,0,6,5
TOR,TOR vs. MIA,12/03/2019,,L,12,28,10,17,58.8,3,8,37.5,5,9,55.6,1,8,9,6,4,1,2,6,3
SAS,SAS vs. HOU,12/03/2019,,W,12,22,7,19,36.8,2,6,33.3,6,9,66.7,3,7,10,5,4,1,1,5,-12
CLE,CLE vs. DET,12/03/2019,,L,12,22,9,19,47.4,0,5,0.0,4,6,66.7,3,4,7,3,4,2,2,6,-13
POR,POR @ LAC,12/03/2019,,L,12,17,6,23,26.1,1,9,11.1,4,5,80.0,6,6,12,5,5,1,2,9,-10
DEN,DEN vs. LAL,12/03/2019,,L,12,27,9,22,40.9,3,8,37.5,6,6,100.0,2,6,8,6,3,4,0,3,3
DET,DET @ CLE,12/03/2019,,W,12,35,13,21,61.9,4,7,57.1,5,7,71.4,2,8,10,7,3,3,0,5,13
ORL,ORL @ WAS,12/03/2019,,W,12,29,8,19,42.1,4,10,40.0,9,11,81.8,2,9,11,5,3,2,2,3,-5
DAL,DAL @ NOP,12/03/2019,,W,12,25,8,21,38.1,2,9,22.2,7,8,87.5,1,15,16,4,1,0,2,2,3
MIA,MIA @ TOR,12/03/2019,,W,12,25,9,22,40.9,5,9,55.6,2,2,100.0,1,8,9,7,3,0,1,8,-3
NOP,NOP vs. DAL,12/03/2019,,L,12,22,9,25,36.0,3,14,21.4,1,2,50.0,1,11,12,6,0,0,1,5,-3
HOU,HOU @ SAS,12/03/2019,,L,12,34,14,27,51.9,4,10,40.0,2,2,100.0,5,8,13,6,1,1,1,6,12
LAC,LAC vs. POR,12/03/2019,,W,12,27,9,23,39.1,3,7,42.9,6,11,54.5,3,11,14,6,4,4,1,6,10
LAL,LAL @ DEN,12/03/2019,,W,12,24,9,18,50.0,2,3,66.7,4,4,100.0,1,11,12,8,6,2,0,8,-3
CHI,CHI @ SAC,12/02/2019,,W,12,29,10,21,47.6,3,7,42.9,6,7,85.7,2,6,8,2,2,1,0,6,-1
UTA,UTA @ PHI,12/02/2019,,L,12,24,9,17,52.9,3,8,37.5,3,4,75.0,0,11,11,6,6,0,5,9,-1
CHA,CHA vs. PHX,12/02/2019,,L,12,34,12,22,54.5,1,5,20.0,9,9,100.0,3,12,15,9,2,1,1,6,13
NYK,NYK @ MIL,12/02/2019,,L,12,17,5,22,22.7,0,8,0.0,7,11,63.6,2,9,11,2,2,1,3,6,-11
PHX,PHX @ CHA,12/02/2019,,W,12,21,7,19,36.8,2,11,18.2,5,7,71.4,0,6,6,6,4,0,3,7,-13
ATL,ATL vs. GSW,12/02/2019,,W,12,27,11,26,42.3,3,9,33.3,2,2,100.0,5,5,10,5,3,6,0,1,14
MIL,MIL vs. NYK,12/02/2019,,W,12,28,9,23,39.1,3,8,37.5,7,8,87.5,2,15,17,4,4,1,1,7,11
SAC,SAC vs. CHI,12/02/2019,,L,12,30,10,19,52.6,3,9,33.3,7,8,87.5,4,9,13,7,4,0,2,8,1
GSW,GSW @ ATL,12/02/2019,,L,12,13,6,17,35.3,1,6,16.7,0,0,0.0,5,7,12,5,11,3,4,3,-14
PHI,PHI vs. UTA,12/02/2019,,W,12,25,9,27,33.3,2,5,40.0,5,8,62.5,3,7,10,6,0,5,0,3,1
MEM,MEM vs. IND,12/02/2019,,L,12,26,8,23,34.8,4,14,28.6,6,6,100.0,2,6,8,7,1,3,0,5,-2
IND,IND @ MEM,12/02/2019,,W,12,28,11,20,55.0,3,9,33.3,3,3,100.0,1,10,11,7,6,0,1,6,2
MIN,MIN vs. MEM,12/01/2019,,L,12,32,10,25,40.0,4,10,40.0,8,10,80.0,4,8,12,6,2,1,2,6,-6
NOP,NOP vs. OKC,12/01/2019,,L,12,22,8,21,38.1,3,10,30.0,3,3,100.0,0,11,11,1,4,2,0,5,-4
DAL,DAL @ LAL,12/01/2019,,W,12,35,12,23,52.2,4,11,36.4,7,10,70.0,3,13,16,6,2,4,1,2,18
LAL,LAL vs. DAL,12/01/2019,,L,12,17,5,19,26.3,3,9,33.3,4,5,80.0,0,8,8,4,4,2,2,6,-18
DET,DET vs. SAS,12/01/2019,,W,12,37,13,23,56.5,5,10,50.0,6,9,66.7,6,10,16,10,2,0,1,1,17
BKN,BKN vs. MIA,12/01/2019,,L,12,16,7,19,36.8,0,6,0.0,2,2,100.0,3,11,14,4,8,1,0,1,-9
BOS,BOS @ NYK,12/01/2019,,W,12,23,8,23,34.8,2,8,25.0,5,6,83.3,6,6,12,5,5,1,2,10,-4
NYK,NYK vs. BOS,12/01/2019,,L,12,27,8,17,47.1,1,5,20.0,10,17,58.8,3,7,10,4,1,3,3,5,4
ORL,ORL vs. GSW,12/01/2019,,W,12,21,7,25,28.0,3,10,30.0,4,8,50.0,7,9,16,4,4,2,1,3,1
TOR,TOR vs. UTA,12/01/2019,,W,12,30,10,19,52.6,3,7,42.9,7,7,100.0,1,4,5,7,4,0,2,7,-19
OKC,OKC @ NOP,12/01/2019,,W,12,26,9,20,45.0,5,12,41.7,3,3,100.0,0,10,10,6,2,1,0,4,4
MEM,MEM @ MIN,12/01/2019,,W,12,38,13,26,50.0,6,8,75.0,6,7,85.7,3,10,13,9,2,2,1,7,6
MIA,MIA @ BKN,12/01/2019,,W,12,25,10,25,40.0,4,12,33.3,1,1,100.0,3,7,10,5,3,2,1,4,9
WAS,WAS @ LAC,12/01/2019,,L,12,41,15,30,50.0,7,15,46.7,4,6,66.7,3,12,15,11,2,3,0,9,7
SAS,SAS @ DET,12/01/2019,,L,12,20,9,23,39.1,1,7,14.3,1,2,50.0,2,5,7,3,0,2,1,8,-17
UTA,UTA @ TOR,12/01/2019,,L,12,49,18,25,72.0,8,10,80.0,5,7,71.4,3,7,10,15,0,1,0,6,19
GSW,GSW @ ORL,12/01/2019,,L,12,20,8,24,33.3,2,5,40.0,2,3,66.7,4,9,13,2,3,2,2,4,-1
LAC,LAC vs. WAS,12/01/2019,,W,12,34,8,19,42.1,4,10,40.0,14,16,87.5,0,11,11,5,5,1,2,5,-7
ATL,ATL @ HOU,11/30/2019,,L,12,21,8,26,30.8,3,12,25.0,2,4,50.0,5,4,9,5,4,1,1,8,-25
IND,IND @ PHI,11/30/2019,,L,12,28,12,22,54.5,1,4,25.0,3,5,60.0,2,5,7,6,3,2,1,4,0
PHI,PHI vs. IND,11/30/2019,,W,12,28,10,17,58.8,3,6,50.0,5,5,100.0,0,8,8,7,5,1,2,3,0
MIL,MIL vs. CHA,11/30/2019,,W,12,35,13,22,59.1,5,14,35.7,4,7,57.1,1,10,11,11,1,1,0,4,9
DEN,DEN @ SAC,11/30/2019,,L,12,18,8,21,38.1,1,7,14.3,1,2,50.0,2,5,7,6,4,5,3,6,-9
CHA,CHA @ MIL,11/30/2019,,L,12,26,11,25,44.0,4,15,26.7,0,0,0.0,4,9,13,6,3,1,0,7,-9
HOU,HOU vs. ATL,11/30/2019,,W,12,46,12,19,63.2,7,12,58.3,15,18,83.3,3,9,12,7,4,3,1,5,25
SAC,SAC vs. DEN,11/30/2019,,W,12,27,9,19,47.4,3,6,50.0,6,7,85.7,2,11,13,6,8,3,1,6,9
SAS,SAS vs. LAC,11/29/2019,,W,12,29,10,25,40.0,5,11,45.5,4,5,80.0,4,12,16,6,4,3,2,3,11
MIA,MIA vs. GSW,11/29/2019,,W,12,24,5,16,31.3,3,6,50.0,11,17,64.7,5,10,15,2,7,2,1,8,3
CLE,CLE vs. MIL,11/29/2019,,L,12,42,16,26,61.5,10,15,66.7,0,0,0.0,1,10,11,10,1,2,0,5,10
POR,POR vs. CHI,11/29/2019,,W,12,28,11,22,50.0,3,10,30.0,3,5,60.0,1,9,10,6,1,0,1,5,-3
LAC,LAC @ SAS,11/29/2019,,L,12,18,5,22,22.7,2,10,20.0,6,6,100.0,4,7,11,3,5,2,1,5,-11
PHX,PHX vs. DAL,11/29/2019,,L,12,39,15,26,57.7,5,8,62.5,4,8,50.0,5,8,13,10,0,0,0,8,3
PHI,PHI @ NYK,11/29/2019,,W,12,31,10,19,52.6,4,6,66.7,7,8,87.5,4,12,16,6,6,1,4,6,14
BKN,BKN vs. BOS,11/29/2019,,W,12,29,10,22,45.5,2,9,22.2,7,8,87.5,3,11,14,4,4,2,2,6,3
BOS,BOS @ BKN,11/29/2019,,L,12,26,11,28,39.3,0,5,0.0,4,5,80.0,6,8,14,3,3,2,2,5,-3
TOR,TOR @ ORL,11/29/2019,,W,12,26,9,22,40.9,4,10,40.0,4,4,100.0,4,8,12,6,3,6,0,4,14
CHI,CHI @ POR,11/29/2019,,L,12,31,10,22,45.5,5,12,41.7,6,9,66.7,2,11,13,8,3,0,0,4,3
UTA,UTA @ MEM,11/29/2019,,W,12,35,13,27,48.1,4,10,40.0,5,5,100.0,5,10,15,7,0,4,1,1,17
IND,IND vs. ATL,11/29/2019,,W,12,29,12,28,42.9,1,5,20.0,4,4,100.0,5,6,11,6,0,2,6,3,18
NOP,NOP @ OKC,11/29/2019,,L,12,31,10,20,50.0,3,9,33.3,8,11,72.7,1,12,13,6,4,4,0,3,14
DET,DET vs. CHA,11/29/2019,,L,12,28,12,20,60.0,2,7,28.6,2,5,40.0,1,8,9,9,2,1,1,4,5
MEM,MEM vs. UTA,11/29/2019,,L,12,18,8,25,32.0,1,4,25.0,1,2,50.0,6,7,13,6,4,0,0,4,-17
LAL,LAL vs. WAS,11/29/2019,,W,12,35,11,22,50.0,4,8,50.0,9,13,69.2,2,10,12,8,4,2,1,8,5
ATL,ATL @ IND,11/29/2019,,L,12,11,5,17,29.4,1,4,25.0,0,0,0.0,2,7,9,2,9,0,1,8,-18
MIL,MIL @ CLE,11/29/2019,,W,12,32,12,22,54.5,3,7,42.9,5,9,55.6,4,8,12,6,3,0,0,4,-10
GSW,GSW @ MIA,11/29/2019,,L,12,21,5,19,26.3,1,5,20.0,10,10,100.0,1,6,7,1,3,2,0,9,-3
ORL,ORL vs. TOR,11/29/2019,,L,12,12,4,22,18.2,1,8,12.5,3,4,75.0,7,8,15,3,7,2,0,3,-14
NYK,NYK vs. PHI,11/29/2019,,L,12,17,5,22,22.7,1,6,16.7,6,9,66.7,5,3,8,2,4,2,2,7,-14
OKC,OKC vs. NOP,11/29/2019,,W,12,17,6,20,30.0,2,9,22.2,3,4,75.0,1,9,10,5,6,2,1,8,-14
CHA,CHA @ DET,11/29/2019,,W,12,23,9,23,39.1,4,11,36.4,1,1,100.0,4,7,11,5,4,1,1,6,-5
