Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
SAC,SAC @ IND,12/20/2019,,L,12,25,12,25,48.0,1,7,14.3,0,0,0.0,5,6,11,7,3,1,1,2,-13
TOR,TOR vs. WAS,12/20/2019,,W,12,28,10,23,43.5,3,10,30.0,5,7,71.4,2,10,12,7,5,4,2,8,-1
MIA,MIA vs. NYK,12/20/2019,,W,12,31,9,16,56.3,4,9,44.4,9,13,69.2,3,14,17,7,6,1,0,9,4
ORL,ORL @ POR,12/20/2019,,L,12,31,12,29,41.4,2,7,28.6,5,8,62.5,4,7,11,5,0,3,1,3,5
CLE,CLE vs. MEM,12/20/2019,,W,12,30,11,22,50.0,7,15,46.7,1,1,100.0,2,10,12,9,5,1,3,3,6
NYK,NYK @ MIA,12/20/2019,,L,12,27,9,26,34.6,2,8,25.0,7,15,46.7,8,6,14,2,1,4,0,8,-4
IND,IND vs. SAC,12/20/2019,,W,12,38,15,22,68.2,7,11,63.6,1,2,50.0,2,6,8,14,3,2,2,3,13
OKC,OKC vs. PHX,12/20/2019,,W,12,31,11,20,55.0,2,6,33.3,7,9,77.8,2,8,10,5,4,2,1,9,4
PHI,PHI vs. DAL,12/20/2019,,L,12,29,10,23,43.5,4,10,40.0,5,7,71.4,2,7,9,7,2,2,0,5,1
WAS,WAS @ TOR,12/20/2019,,L,12,29,9,21,42.9,4,10,40.0,7,11,63.6,3,8,11,5,7,3,0,5,1
POR,POR vs. ORL,12/20/2019,,W,12,26,11,22,50.0,1,7,14.3,3,3,100.0,4,10,14,2,5,0,2,6,-5
MIN,MIN @ DEN,12/20/2019,,L,12,31,10,17,58.8,3,7,42.9,8,12,66.7,2,7,9,3,5,3,0,7,3
BKN,BKN @ SAS,12/19/2019,,L,12,23,7,17,41.2,2,9,22.2,7,8,87.5,1,12,13,4,7,4,3,3,0
SAS,SAS vs. BKN,12/19/2019,,W,12,23,8,24,33.3,3,8,37.5,4,4,100.0,3,8,11,7,4,5,0,4,0
ATL,ATL vs. UTA,12/19/2019,,L,12,26,10,20,50.0,2,6,33.3,4,5,80.0,0,12,12,7,6,2,1,6,2
LAC,LAC vs. HOU,12/19/2019,,L,12,41,17,27,63.0,4,11,36.4,3,4,75.0,3,8,11,6,3,2,1,6,14
UTA,UTA @ ATL,12/19/2019,,W,12,24,8,19,42.1,2,6,33.3,6,9,66.7,1,9,10,2,4,2,2,4,-2
MIL,MIL vs. LAL,12/19/2019,,W,12,42,13,20,65.0,6,11,54.5,10,12,83.3,1,9,10,9,3,5,1,7,13
HOU,HOU @ LAC,12/19/2019,,W,12,27,12,23,52.2,3,9,33.3,0,2,0.0,2,6,8,6,6,1,2,3,-14
LAL,LAL @ MIL,12/19/2019,,L,12,29,11,23,47.8,4,10,40.0,3,6,50.0,4,5,9,2,7,2,1,7,-13
CLE,CLE vs. CHA,12/18/2019,,W,12,24,12,20,60.0,0,4,0.0,0,0,0.0,1,12,13,7,4,1,1,7,4
MIA,MIA @ PHI,12/18/2019,,W,12,37,13,20,65.0,2,7,28.6,9,9,100.0,2,12,14,7,2,3,2,3,18
WAS,WAS vs. CHI,12/18/2019,,L,12,31,10,25,40.0,6,16,37.5,5,8,62.5,3,8,11,7,4,6,2,6,2
DAL,DAL vs. BOS,12/18/2019,,L,12,26,8,22,36.4,4,11,36.4,6,8,75.0,3,11,14,6,2,3,5,6,5
CHI,CHI @ WAS,12/18/2019,,W,12,29,11,22,50.0,4,11,36.4,3,4,75.0,2,12,14,9,7,3,1,7,-2
TOR,TOR @ DET,12/18/2019,,W,12,40,12,26,46.2,5,10,50.0,11,11,100.0,3,7,10,7,0,1,2,6,5
CHA,CHA @ CLE,12/18/2019,,L,12,20,7,23,30.4,1,6,16.7,5,8,62.5,5,5,10,4,1,2,1,0,-4
DEN,DEN vs. ORL,12/18/2019,,W,12,18,7,22,31.8,2,7,28.6,2,4,50.0,3,9,12,6,6,4,2,7,-10
GSW,GSW @ POR,12/18/2019,,L,12,37,13,25,52.0,4,7,57.1,7,10,70.0,3,9,12,8,0,4,2,5,10
BOS,BOS @ DAL,12/18/2019,,W,12,21,6,23,26.1,0,7,0.0,9,10,90.0,5,8,13,3,5,1,2,5,-5
DET,DET vs. TOR,12/18/2019,,L,12,35,12,25,48.0,3,11,27.3,8,9,88.9,4,10,14,7,3,0,2,8,-5
POR,POR vs. GSW,12/18/2019,,W,12,27,10,27,37.0,2,7,28.6,5,5,100.0,5,10,15,5,5,0,1,7,-10
MEM,MEM @ OKC,12/18/2019,,L,12,36,14,26,53.8,6,11,54.5,2,2,100.0,3,10,13,9,1,0,1,5,4
OKC,OKC vs. MEM,12/18/2019,,W,12,32,12,23,52.2,3,8,37.5,5,5,100.0,0,7,7,9,1,0,1,3,-4
MIN,MIN vs. NOP,12/18/2019,,L,12,25,7,24,29.2,4,10,40.0,7,9,77.8,6,6,12,4,5,3,0,3,-6
NOP,NOP @ MIN,12/18/2019,,W,12,31,10,22,45.5,5,11,45.5,6,6,100.0,1,11,12,7,5,2,3,5,6
PHI,PHI vs. MIA,12/18/2019,,L,12,19,7,23,30.4,3,13,23.1,2,2,100.0,4,3,7,5,4,2,1,5,-18
ORL,ORL @ DEN,12/18/2019,,L,12,28,8,19,42.1,3,11,27.3,9,11,81.8,1,11,12,6,5,3,0,3,10
BKN,BKN @ NOP,12/17/2019,,W,12,21,8,23,34.8,1,10,10.0,4,6,66.7,2,13,15,5,3,1,1,1,7
LAL,LAL @ IND,12/17/2019,,L,12,24,11,24,45.8,2,6,33.3,0,2,0.0,5,5,10,7,2,1,1,5,-2
PHX,PHX @ LAC,12/17/2019,,L,12,21,9,24,37.5,1,4,25.0,2,3,66.7,4,8,12,5,7,5,3,9,-2
ORL,ORL @ UTA,12/17/2019,,L,12,27,11,24,45.8,3,9,33.3,2,5,40.0,1,6,7,5,0,3,1,4,-5
UTA,UTA vs. ORL,12/17/2019,,W,12,32,13,22,59.1,3,7,42.9,3,6,50.0,4,13,17,7,5,0,0,6,5
ATL,ATL @ NYK,12/17/2019,,L,12,26,11,25,44.0,4,11,36.4,0,0,0.0,0,7,7,5,3,0,0,5,-10
IND,IND vs. LAL,12/17/2019,,W,12,26,10,20,50.0,4,10,40.0,2,4,50.0,4,6,10,8,4,0,4,5,2
LAC,LAC vs. PHX,12/17/2019,,W,12,23,8,22,36.4,1,8,12.5,6,8,75.0,2,10,12,3,5,3,0,3,2
CHA,CHA vs. SAC,12/17/2019,,W,12,27,9,22,40.9,2,9,22.2,7,11,63.6,7,7,14,6,4,2,2,3,1
NYK,NYK vs. ATL,12/17/2019,,W,12,36,14,25,56.0,1,6,16.7,7,8,87.5,4,13,17,5,2,3,1,4,10
NOP,NOP vs. BKN,12/17/2019,,L,12,14,5,25,20.0,4,13,30.8,0,0,0.0,3,12,15,5,4,1,3,6,-7
SAC,SAC @ CHA,12/17/2019,,L,12,26,10,22,45.5,3,10,30.0,3,3,100.0,3,7,10,4,4,3,1,7,-1
DAL,DAL @ MIL,12/16/2019,,W,12,23,9,21,42.9,2,11,18.2,3,3,100.0,2,10,12,4,5,1,1,5,-11
HOU,HOU vs. SAS,12/16/2019,,W,12,32,12,24,50.0,2,10,20.0,6,11,54.5,3,6,9,5,5,3,3,4,-5
DET,DET vs. WAS,12/16/2019,,L,12,30,11,24,45.8,5,11,45.5,3,4,75.0,4,10,14,7,6,1,1,5,6
WAS,WAS @ DET,12/16/2019,,W,12,24,8,24,33.3,4,10,40.0,4,5,80.0,3,6,9,4,3,4,1,5,-6
POR,POR @ PHX,12/16/2019,,W,12,34,12,21,57.1,4,9,44.4,6,7,85.7,1,7,8,7,4,2,3,5,0
CHI,CHI @ OKC,12/16/2019,,L,12,31,12,23,52.2,5,8,62.5,2,4,50.0,2,6,8,9,3,4,1,5,-2
MIL,MIL vs. DAL,12/16/2019,,L,12,34,13,29,44.8,4,12,33.3,4,5,80.0,6,10,16,9,1,3,2,4,11
