Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
DET,DET vs. DAL,12/12/2019,,L,12,29,12,24,50.0,3,10,30.0,2,2,100.0,2,6,8,5,2,2,1,2,-2
DEN,DEN vs. POR,12/12/2019,,W,12,29,10,20,50.0,4,8,50.0,5,8,62.5,5,6,11,5,4,1,0,2,2
BOS,BOS @ IND,12/11/2019,,L,12,25,10,24,41.7,3,9,33.3,2,3,66.7,3,12,15,5,5,0,0,10,-6
GSW,GSW vs. NYK,12/11/2019,,L,12,30,9,27,33.3,2,10,20.0,10,10,100.0,8,7,15,5,1,2,1,8,-8
CHA,CHA @ BKN,12/11/2019,,W,12,27,9,25,36.0,2,6,33.3,7,9,77.8,7,8,15,6,4,2,2,7,-3
LAC,LAC @ TOR,12/11/2019,,W,12,37,14,24,58.3,3,7,42.9,6,6,100.0,2,10,12,9,5,2,2,6,23
CLE,CLE vs. HOU,12/11/2019,,L,12,28,12,19,63.2,3,8,37.5,1,2,50.0,1,6,7,7,5,1,2,3,-1
CHI,CHI vs. ATL,12/11/2019,,W,12,29,11,25,44.0,2,7,28.6,5,5,100.0,2,12,14,8,5,3,1,6,10
HOU,HOU @ CLE,12/11/2019,,W,12,29,10,22,45.5,3,9,33.3,6,6,100.0,3,5,8,3,2,3,0,2,1
LAL,LAL @ ORL,12/11/2019,,W,12,25,10,20,50.0,3,5,60.0,2,2,100.0,2,7,9,5,7,2,1,3,-4
BKN,BKN vs. CHA,12/11/2019,,L,12,30,11,23,47.8,4,7,57.1,4,7,57.1,5,9,14,5,5,2,1,6,3
IND,IND vs. BOS,12/11/2019,,W,12,31,9,22,40.9,2,8,25.0,11,13,84.6,1,10,11,6,2,4,2,4,6
ORL,ORL vs. LAL,12/11/2019,,L,12,29,13,24,54.2,2,6,33.3,1,2,50.0,4,7,11,6,3,5,1,4,4
TOR,TOR vs. LAC,12/11/2019,,L,12,14,5,22,22.7,0,9,0.0,4,6,66.7,5,5,10,2,8,4,2,4,-23
NOP,NOP @ MIL,12/11/2019,,L,12,26,8,26,30.8,6,16,37.5,4,6,66.7,3,11,14,6,4,1,1,1,-8
MIN,MIN vs. UTA,12/11/2019,,L,12,36,13,23,56.5,7,16,43.8,3,3,100.0,1,4,5,6,1,1,1,5,2
MEM,MEM @ PHX,12/11/2019,,W,12,24,9,22,40.9,2,10,20.0,4,5,80.0,3,8,11,5,5,2,0,7,-8
MIL,MIL vs. NOP,12/11/2019,,W,12,34,14,27,51.9,5,11,45.5,1,2,50.0,2,12,14,9,1,4,1,4,8
PHX,PHX vs. MEM,12/11/2019,,L,12,32,10,23,43.5,2,8,25.0,10,10,100.0,3,9,12,6,3,2,1,5,8
ATL,ATL @ CHI,12/11/2019,,L,12,19,6,21,28.6,2,10,20.0,5,7,71.4,2,10,12,5,6,3,2,5,-10
UTA,UTA @ MIN,12/11/2019,,W,12,34,12,20,60.0,5,7,71.4,5,6,83.3,4,9,13,5,4,0,0,4,-2
OKC,OKC @ SAC,12/11/2019,,L,12,29,11,21,52.4,7,13,53.8,0,0,0.0,2,15,17,10,5,1,2,6,14
NYK,NYK @ GSW,12/11/2019,,W,12,38,13,21,61.9,5,7,71.4,7,12,58.3,4,9,13,7,2,1,3,6,8
SAC,SAC vs. OKC,12/11/2019,,W,12,15,6,20,30.0,1,9,11.1,2,5,40.0,0,6,6,1,1,3,0,3,-14
POR,POR vs. NYK,12/10/2019,,W,12,28,6,22,27.3,3,13,23.1,13,15,86.7,7,11,18,1,4,2,2,4,9
CHA,CHA vs. WAS,12/10/2019,,W,12,25,9,22,40.9,2,10,20.0,5,8,62.5,3,8,11,4,1,0,2,8,-3
ATL,ATL @ MIA,12/10/2019,,L,12,34,11,17,64.7,5,11,45.5,7,7,100.0,1,9,10,9,6,2,3,5,4
MIA,MIA vs. ATL,12/10/2019,,W,12,30,13,26,50.0,3,9,33.3,1,3,33.3,3,5,8,8,4,3,0,5,-4
WAS,WAS @ CHA,12/10/2019,,L,12,28,10,21,47.6,2,7,28.6,6,9,66.7,1,10,11,6,1,0,0,7,3
NYK,NYK @ POR,12/10/2019,,L,12,19,7,21,33.3,1,10,10.0,4,4,100.0,2,9,11,5,4,3,0,8,-9
PHI,PHI vs. DEN,12/10/2019,,W,12,29,10,19,52.6,5,10,50.0,4,5,80.0,0,13,13,9,7,2,2,5,6
DEN,DEN @ PHI,12/10/2019,,L,12,23,9,23,39.1,4,7,57.1,1,1,100.0,0,7,7,8,4,5,4,2,-6
IND,IND vs. LAC,12/09/2019,,L,12,29,9,25,36.0,4,10,40.0,7,9,77.8,3,9,12,7,4,3,0,8,-7
UTA,UTA vs. OKC,12/09/2019,,L,12,23,9,22,40.9,3,8,37.5,2,2,100.0,1,10,11,5,3,2,0,3,-3
PHX,PHX vs. MIN,12/09/2019,,W,12,28,11,25,44.0,2,8,25.0,4,4,100.0,3,9,12,7,3,1,2,6,-5
MIN,MIN @ PHX,12/09/2019,,L,12,33,14,26,53.8,2,5,40.0,3,5,60.0,3,11,14,7,3,2,2,7,5
ORL,ORL @ MIL,12/09/2019,,L,12,20,6,22,27.3,2,10,20.0,6,7,85.7,2,10,12,5,3,2,3,6,-1
BOS,BOS vs. CLE,12/09/2019,,W,12,24,10,20,50.0,3,8,37.5,1,1,100.0,2,8,10,6,6,2,2,8,2
NOP,NOP vs. DET,12/09/2019,,L,12,24,9,24,37.5,3,12,25.0,3,8,37.5,2,11,13,6,2,1,0,8,2
MIL,MIL vs. ORL,12/09/2019,,W,12,21,8,24,33.3,3,13,23.1,2,4,50.0,3,13,16,4,5,2,1,5,1
CHI,CHI vs. TOR,12/09/2019,,L,12,21,8,25,32.0,3,16,18.8,2,3,66.7,2,13,15,7,3,2,0,4,2
OKC,OKC @ UTA,12/09/2019,,W,12,26,10,21,47.6,2,9,22.2,4,4,100.0,0,12,12,5,3,2,3,5,3
HOU,HOU vs. SAC,12/09/2019,,L,12,36,12,24,50.0,8,19,42.1,4,4,100.0,3,12,15,7,3,1,0,3,9
TOR,TOR @ CHI,12/09/2019,,W,12,19,9,25,36.0,1,9,11.1,0,3,0.0,3,15,18,6,6,1,1,3,-2
MEM,MEM @ GSW,12/09/2019,,W,12,25,8,20,40.0,3,9,33.3,6,7,85.7,0,10,10,7,4,3,3,6,-2
GSW,GSW vs. MEM,12/09/2019,,L,12,27,8,25,32.0,3,6,50.0,8,9,88.9,3,12,15,7,4,3,0,5,2
LAC,LAC @ IND,12/09/2019,,W,12,36,11,25,44.0,3,9,33.3,11,14,78.6,5,12,17,5,4,2,0,6,7
DET,DET @ NOP,12/09/2019,,W,12,22,5,19,26.3,3,10,30.0,9,12,75.0,2,15,17,3,6,1,0,5,-2
CLE,CLE @ BOS,12/09/2019,,L,12,22,9,18,50.0,1,5,20.0,3,10,30.0,4,7,11,5,5,3,0,3,-2
SAC,SAC @ HOU,12/09/2019,,W,12,27,10,21,47.6,4,11,36.4,3,5,60.0,0,7,7,8,2,2,1,4,-9
DEN,DEN @ BKN,12/08/2019,,L,12,33,10,21,47.6,5,10,50.0,8,9,88.9,1,8,9,7,4,0,2,8,5
CHA,CHA vs. ATL,12/08/2019,,L,12,26,8,19,42.1,3,6,50.0,7,9,77.8,1,7,8,7,3,5,1,5,-1
TOR,TOR @ PHI,12/08/2019,,L,12,20,9,24,37.5,1,8,12.5,1,1,100.0,4,8,12,6,5,0,1,4,-10
BKN,BKN vs. DEN,12/08/2019,,W,12,28,8,25,32.0,1,7,14.3,11,12,91.7,5,7,12,6,3,1,1,6,-5
POR,POR vs. OKC,12/08/2019,,L,12,27,10,26,38.5,4,8,50.0,3,3,100.0,5,8,13,4,3,1,3,4,-7
MIA,MIA vs. CHI,12/08/2019,,W,12,31,11,23,47.8,2,7,28.6,7,8,87.5,3,7,10,4,0,2,0,4,7
WAS,WAS vs. LAC,12/08/2019,,L,12,39,13,22,59.1,4,10,40.0,9,11,81.8,2,10,12,8,3,1,2,5,9
ATL,ATL @ CHA,12/08/2019,,W,12,27,10,18,55.6,2,6,33.3,5,6,83.3,1,11,12,6,5,2,1,8,1
DAL,DAL vs. SAC,12/08/2019,,L,12,19,7,21,33.3,2,9,22.2,3,4,75.0,4,5,9,5,2,0,0,4,-11
LAC,LAC @ WAS,12/08/2019,,W,12,30,12,26,46.2,3,8,37.5,3,6,50.0,3,6,9,8,4,2,1,10,-9
SAC,SAC @ DAL,12/08/2019,,W,12,30,13,23,56.5,1,6,16.7,3,3,100.0,5,7,12,5,1,1,0,4,11
OKC,OKC @ POR,12/08/2019,,W,12,34,13,26,50.0,6,12,50.0,2,2,100.0,2,10,12,3,2,3,0,4,7
PHI,PHI vs. TOR,12/08/2019,,W,12,30,13,21,61.9,2,4,50.0,2,2,100.0,0,7,7,9,1,3,2,2,10
CHI,CHI @ MIA,12/08/2019,,L,12,24,7,17,41.2,2,6,33.3,8,9,88.9,0,9,9,3,3,0,0,7,-7
MIN,MIN @ LAL,12/08/2019,,L,12,34,9,20,45.0,5,9,55.6,11,12,91.7,1,7,8,6,5,3,3,6,0
LAL,LAL vs. MIN,12/08/2019,,W,12,34,13,24,54.2,3,7,42.9,5,6,83.3,4,7,11,7,4,1,0,6,0
NOP,NOP @ DAL,12/07/2019,,L,12,24,8,25,32.0,0,8,0.0,8,10,80.0,2,3,5,6,0,1,1,8,-9
IND,IND @ NYK,12/07/2019,,W,12,34,13,22,59.1,5,9,55.6,3,3,100.0,0,9,9,9,4,0,1,2,1
DAL,DAL vs. NOP,12/07/2019,,W,12,33,10,19,52.6,1,7,14.3,12,14,85.7,3,14,17,4,4,0,2,5,9
MEM,MEM @ UTA,12/07/2019,,L,12,18,7,19,36.8,2,10,20.0,2,3,66.7,2,6,8,3,7,2,1,4,-19
PHI,PHI vs. CLE,12/07/2019,,W,12,41,17,21,81.0,6,7,85.7,1,2,50.0,1,10,11,14,2,4,3,2,23
UTA,UTA vs. MEM,12/07/2019,,W,12,37,13,23,56.5,7,11,63.6,4,4,100.0,3,8,11,9,3,3,0,6,19
NYK,NYK vs. IND,12/07/2019,,L,12,33,13,25,52.0,3,10,30.0,4,4,100.0,3,7,10,7,2,3,1,4,-1
HOU,HOU vs. PHX,12/07/2019,,W,12,37,14,23,60.9,4,11,36.4,5,8,62.5,2,13,15,10,3,3,2,3,16
PHX,PHX @ HOU,12/07/2019,,L,12,21,9,27,33.3,2,11,18.2,1,1,100.0,4,8,12,8,4,2,0,5,-16
CLE,CLE @ PHI,12/07/2019,,L,12,18,8,22,36.4,1,8,12.5,1,2,50.0,2,3,5,5,6,1,0,3,-23
SAS,SAS vs. SAC,12/06/2019,,W,12,31,12,24,50.0,5,11,45.5,2,2,100.0,6,9,15,6,4,2,2,6,6
LAL,LAL @ POR,12/06/2019,,W,12,38,12,22,54.5,6,8,75.0,8,10,80.0,0,11,11,6,6,4,1,7,10
ORL,ORL @ CLE,12/06/2019,,W,12,28,10,24,41.7,3,8,37.5,5,5,100.0,4,11,15,5,3,2,4,7,6
DET,DET vs. IND,12/06/2019,,W,12,23,8,20,40.0,1,5,20.0,6,8,75.0,5,10,15,6,7,2,2,8,-2
CHI,CHI vs. GSW,12/06/2019,,L,12,23,9,22,40.9,4,10,40.0,1,1,100.0,4,5,9,5,5,3,0,4,-4
IND,IND @ DET,12/06/2019,,L,12,25,7,19,36.8,3,7,42.9,8,10,80.0,1,6,7,7,3,3,2,7,2
LAC,LAC @ MIL,12/06/2019,,L,12,28,10,20,50.0,4,7,57.1,4,4,100.0,2,8,10,7,5,2,1,4,6
WAS,WAS @ MIA,12/06/2019,,L,12,37,14,24,58.3,6,9,66.7,3,3,100.0,1,7,8,12,2,1,1,4,3
GSW,GSW @ CHI,12/06/2019,,W,12,27,11,19,57.9,4,7,57.1,1,1,100.0,2,9,11,6,6,3,1,5,4
SAC,SAC @ SAS,12/06/2019,,L,12,25,8,22,36.4,3,6,50.0,6,8,75.0,4,4,8,4,4,4,1,4,-6
MIL,MIL vs. LAC,12/06/2019,,W,12,22,7,18,38.9,2,5,40.0,6,7,85.7,4,7,11,6,6,2,2,7,-6
MIN,MIN @ OKC,12/06/2019,,L,12,31,13,26,50.0,4,11,36.4,1,1,100.0,2,8,10,7,3,2,1,4,8
CLE,CLE vs. ORL,12/06/2019,,L,12,22,8,21,38.1,1,6,16.7,5,8,62.5,3,9,12,5,4,3,2,4,-6
OKC,OKC vs. MIN,12/06/2019,,W,12,23,9,18,50.0,1,3,33.3,4,6,66.7,0,6,6,3,3,1,4,4,-8
POR,POR vs. LAL,12/06/2019,,L,12,28,9,21,42.9,2,6,33.3,8,8,100.0,1,10,11,4,6,3,0,7,-10
MIA,MIA vs. WAS,12/06/2019,,W,12,34,12,20,60.0,3,6,50.0,7,9,77.8,2,9,11,8,4,1,5,4,-3
CHA,CHA vs. BKN,12/06/2019,,L,12,25,8,19,42.1,4,10,40.0,5,5,100.0,2,3,5,7,5,3,1,2,-1
BOS,BOS vs. DEN,12/06/2019,,W,12,20,9,18,50.0,2,8,25.0,0,0,0.0,0,11,11,3,6,1,0,5,1
DEN,DEN @ BOS,12/06/2019,,L,12,19,8,22,36.4,0,7,0.0,3,3,100.0,1,8,9,4,3,2,1,2,-1
BKN,BKN @ CHA,12/06/2019,,W,12,26,11,21,52.4,4,9,44.4,0,0,0.0,5,9,14,11,8,3,0,6,1
PHI,PHI @ WAS,12/05/2019,,L,12,22,8,17,47.1,2,5,40.0,4,6,66.7,2,6,8,7,6,1,1,3,-18
HOU,HOU @ TOR,12/05/2019,,W,12,29,12,24,50.0,4,8,50.0,1,1,100.0,5,9,14,6,6,2,0,8,2
NYK,NYK vs. DEN,12/05/2019,,L,12,18,5,15,33.3,2,10,20.0,6,7,85.7,0,7,7,4,7,1,2,3,-16
NOP,NOP vs. PHX,12/05/2019,,L,12,30,10,17,58.8,3,6,50.0,7,8,87.5,0,6,6,9,7,4,1,5,-6
DEN,DEN @ NYK,12/05/2019,,W,12,34,14,23,60.9,5,8,62.5,1,2,50.0,3,9,12,12,3,4,0,6,16
PHX,PHX @ NOP,12/05/2019,,W,12,36,15,23,65.2,5,7,71.4,1,2,50.0,2,7,9,11,6,3,1,6,6
WAS,WAS vs. PHI,12/05/2019,,W,12,40,16,24,66.7,6,11,54.5,2,2,100.0,2,8,10,11,2,1,1,4,18
TOR,TOR vs. HOU,12/05/2019,,L,12,27,9,24,37.5,2,10,20.0,7,8,87.5,4,7,11,9,3,1,0,4,-2
LAL,LAL @ UTA,12/04/2019,,W,12,31,9,20,45.0,5,10,50.0,8,9,88.9,2,14,16,5,5,1,2,6,10
DAL,DAL vs. MIN,12/04/2019,,W,12,23,9,20,45.0,1,9,11.1,4,5,80.0,1,10,11,4,4,0,1,10,-8
DET,DET vs. MIL,12/04/2019,,L,12,24,8,21,38.1,2,9,22.2,6,12,50.0,3,4,7,4,1,2,1,4,-13
OKC,OKC vs. IND,12/04/2019,,L,12,21,9,19,47.4,1,5,20.0,2,2,100.0,0,9,9,6,2,3,2,3,-2
IND,IND @ OKC,12/04/2019,,W,12,23,10,20,50.0,3,4,75.0,0,0,0.0,0,7,7,5,3,1,0,3,2
ATL,ATL vs. BKN,12/04/2019,,L,12,21,9,22,40.9,3,10,30.0,0,1,0.0,3,7,10,6,6,1,3,5,-13
MIA,MIA @ BOS,12/04/2019,,L,12,16,7,21,33.3,2,6,33.3,0,0,0.0,2,8,10,4,7,3,0,9,-16
CHA,CHA vs. GSW,12/04/2019,,W,12,30,11,20,55.0,7,11,63.6,1,4,25.0,2,3,5,7,4,3,1,5,-4
PHX,PHX @ ORL,12/04/2019,,L,12,21,9,22,40.9,0,9,0.0,3,4,75.0,2,7,9,7,2,1,0,4,-13
BOS,BOS vs. MIA,12/04/2019,,W,12,32,8,17,47.1,5,13,38.5,11,14,78.6,2,11,13,7,4,5,4,2,16
POR,POR vs. SAC,12/04/2019,,W,12,36,14,23,60.9,5,9,55.6,3,4,75.0,3,8,11,7,2,1,3,2,7
UTA,UTA vs. LAL,12/04/2019,,L,12,21,7,25,28.0,4,11,36.4,3,5,60.0,2,8,10,3,4,2,0,9,-10
CHI,CHI vs. MEM,12/04/2019,,W,12,23,9,19,47.4,4,10,40.0,1,3,33.3,3,11,14,7,8,2,5,6,8
GSW,GSW @ CHA,12/04/2019,,L,12,34,14,21,66.7,5,7,71.4,1,1,100.0,2,7,9,5,6,1,1,4,4
MIN,MIN @ DAL,12/04/2019,,L,12,31,6,22,27.3,4,9,44.4,15,17,88.2,4,9,13,6,2,2,1,5,8
ORL,ORL vs. PHX,12/04/2019,,W,12,34,13,26,50.0,4,6,66.7,4,5,80.0,6,9,15,6,3,0,2,3,13
SAC,SAC @ POR,12/04/2019,,L,12,29,11,24,45.8,6,15,40.0,1,1,100.0,5,7,12,5,5,1,2,2,-7
MIL,MIL @ DET,12/04/2019,,W,12,37,14,22,63.6,4,7,57.1,5,5,100.0,2,13,15,9,4,1,1,8,13
MEM,MEM @ CHI,12/04/2019,,L,12,15,5,22,22.7,0,5,0.0,5,6,83.3,3,6,9,3,4,8,4,4,-8
BKN,BKN @ ATL,12/04/2019,,W,12,34,12,30,40.0,5,11,45.5,5,5,100.0,9,9,18,6,3,1,1,3,13
HOU,HOU @ SAS,12/03/2019,,L,12,38,11,25,44.0,8,15,53.3,8,8,100.0,5,9,14,8,3,3,1,7,6
DAL,DAL @ NOP,12/03/2019,,W,12,35,13,23,56.5,6,10,60.0,3,4,75.0,1,7,8,8,2,3,0,5,6
DET,DET @ CLE,12/03/2019,,W,12,30,13,23,56.5,4,8,50.0,0,2,0.0,2,14,16,7,3,1,1,5,12
NOP,NOP vs. DAL,12/03/2019,,L,12,29,10,20,50.0,4,9,44.4,5,5,100.0,2,9,11,6,6,1,1,4,-6
WAS,WAS vs. ORL,12/03/2019,,L,12,28,10,23,43.5,2,8,25.0,6,7,85.7,2,8,10,7,1,1,2,5,-8
LAL,LAL @ DEN,12/03/2019,,W,12,32,12,26,46.2,1,8,12.5,7,11,63.6,7,8,15,6,1,2,1,4,7
LAC,LAC vs. POR,12/03/2019,,W,12,33,13,23,56.5,4,7,57.1,3,4,75.0,1,8,9,6,0,0,0,1,4
MIA,MIA @ TOR,12/03/2019,,W,12,26,9,20,45.0,1,6,16.7,7,9,77.8,1,9,10,5,4,1,2,6,-4
POR,POR @ LAC,12/03/2019,,L,12,29,13,23,56.5,2,6,33.3,1,1,100.0,2,10,12,5,2,0,1,4,-4
SAS,SAS vs. HOU,12/03/2019,,W,12,32,12,21,57.1,1,2,50.0,7,12,58.3,2,8,10,10,4,3,2,5,-6
ORL,ORL @ WAS,12/03/2019,,W,12,36,15,24,62.5,5,7,71.4,1,2,50.0,1,11,12,9,1,1,0,4,8
TOR,TOR vs. MIA,12/03/2019,,L,12,30,10,26,38.5,2,10,20.0,8,8,100.0,4,11,15,7,3,3,1,5,4
CLE,CLE vs. DET,12/03/2019,,L,12,18,7,25,28.0,1,8,12.5,3,4,75.0,3,7,10,3,1,2,1,1,-12
DEN,DEN vs. LAL,12/03/2019,,L,12,25,10,22,45.5,1,7,14.3,4,4,100.0,2,7,9,8,3,0,2,9,-7
PHI,PHI vs. UTA,12/02/2019,,W,12,29,11,24,45.8,6,11,54.5,1,3,33.3,1,13,14,10,4,2,1,10,10
PHX,PHX @ CHA,12/02/2019,,W,12,31,11,20,55.0,3,11,27.3,6,8,75.0,3,6,9,8,2,5,1,4,13
NYK,NYK @ MIL,12/02/2019,,L,12,30,9,24,37.5,3,9,33.3,9,11,81.8,6,7,13,4,2,0,1,3,-9
GSW,GSW @ ATL,12/02/2019,,L,12,17,7,22,31.8,0,2,0.0,3,3,100.0,7,9,16,3,6,0,2,7,-12
CHI,CHI @ SAC,12/02/2019,,W,12,33,13,20,65.0,5,8,62.5,2,5,40.0,0,9,9,10,5,4,0,5,12
ATL,ATL vs. GSW,12/02/2019,,W,12,29,10,24,41.7,4,10,40.0,5,6,83.3,3,6,9,4,1,4,3,4,12
MIL,MIL vs. NYK,12/02/2019,,W,12,39,15,25,60.0,7,14,50.0,2,3,66.7,3,9,12,10,1,2,1,8,9
CHA,CHA vs. PHX,12/02/2019,,L,12,18,8,16,50.0,1,6,16.7,1,2,50.0,1,5,6,6,6,1,0,5,-13
IND,IND @ MEM,12/02/2019,,W,12,33,12,25,48.0,4,10,40.0,5,6,83.3,3,5,8,9,2,1,0,7,5
SAC,SAC vs. CHI,12/02/2019,,L,12,21,7,19,36.8,3,10,30.0,4,4,100.0,1,6,7,3,5,2,1,4,-12
UTA,UTA @ PHI,12/02/2019,,L,12,19,6,18,33.3,1,7,14.3,6,11,54.5,1,11,12,3,6,1,1,5,-10
MEM,MEM vs. IND,12/02/2019,,L,12,28,9,17,52.9,2,7,28.6,8,9,88.9,2,8,10,7,5,1,4,8,-5
ORL,ORL vs. GSW,12/01/2019,,W,12,25,11,20,55.0,2,7,28.6,1,2,50.0,1,4,5,6,3,1,3,5,-4
DET,DET vs. SAS,12/01/2019,,W,12,27,10,22,45.5,3,7,42.9,4,5,80.0,2,10,12,6,5,2,2,6,3
MIN,MIN vs. MEM,12/01/2019,,L,12,26,7,18,38.9,1,7,14.3,11,13,84.6,1,14,15,5,5,2,2,4,3
GSW,GSW @ ORL,12/01/2019,,L,12,29,11,22,50.0,1,4,25.0,6,6,100.0,6,8,14,7,4,2,1,2,4
NOP,NOP vs. OKC,12/01/2019,,L,12,26,10,25,40.0,6,12,50.0,0,0,0.0,3,7,10,8,4,3,2,9,3
BKN,BKN vs. MIA,12/01/2019,,L,12,35,13,23,56.5,5,12,41.7,4,7,57.1,3,10,13,7,2,0,2,5,9
NYK,NYK vs. BOS,12/01/2019,,L,12,28,10,21,47.6,4,11,36.4,4,5,80.0,3,8,11,5,4,2,0,5,1
OKC,OKC @ NOP,12/01/2019,,W,12,23,7,15,46.7,0,4,0.0,9,11,81.8,2,11,13,4,7,2,0,4,-3
MIA,MIA @ BKN,12/01/2019,,W,12,26,11,26,42.3,2,9,22.2,2,4,50.0,6,6,12,4,2,1,0,7,-9
DAL,DAL @ LAL,12/01/2019,,W,12,34,13,27,48.1,7,15,46.7,1,2,50.0,4,6,10,10,1,1,0,6,2
BOS,BOS @ NYK,12/01/2019,,W,12,27,11,24,45.8,4,10,40.0,1,1,100.0,4,6,10,7,4,1,3,6,-1
WAS,WAS @ LAC,12/01/2019,,L,12,22,8,22,36.4,0,5,0.0,6,7,85.7,2,8,10,7,6,0,0,10,-21
SAS,SAS @ DET,12/01/2019,,L,12,24,8,20,40.0,0,4,0.0,8,8,100.0,0,8,8,4,3,4,4,2,-3
UTA,UTA @ TOR,12/01/2019,,L,12,17,5,27,18.5,1,10,10.0,6,10,60.0,5,9,14,3,5,3,1,4,-23
LAL,LAL vs. DAL,12/01/2019,,L,12,32,13,21,61.9,1,4,25.0,5,5,100.0,2,10,12,7,4,1,0,2,-2
MEM,MEM @ MIN,12/01/2019,,W,12,23,9,31,29.0,3,12,25.0,2,4,50.0,7,10,17,6,3,2,0,9,-3
LAC,LAC vs. WAS,12/01/2019,,W,12,43,14,25,56.0,3,8,37.5,12,16,75.0,3,12,15,6,2,4,2,7,21
TOR,TOR vs. UTA,12/01/2019,,W,12,40,14,23,60.9,8,10,80.0,4,6,66.7,1,17,18,9,5,5,4,6,23
PHI,PHI vs. IND,11/30/2019,,W,12,27,9,21,42.9,3,6,50.0,6,6,100.0,1,6,7,6,3,1,0,4,-9
DEN,DEN @ SAC,11/30/2019,,L,12,30,11,18,61.1,6,7,85.7,2,4,50.0,1,10,11,9,5,1,2,5,7
SAC,SAC vs. DEN,11/30/2019,,W,12,23,9,28,32.1,2,10,20.0,3,3,100.0,6,6,12,5,2,3,0,3,-7
ATL,ATL @ HOU,11/30/2019,,L,12,31,10,23,43.5,1,8,12.5,10,12,83.3,2,6,8,8,3,2,0,8,-12
CHA,CHA @ MIL,11/30/2019,,L,12,24,9,25,36.0,6,12,50.0,0,0,0.0,0,9,9,8,1,1,1,5,-10
IND,IND @ PHI,11/30/2019,,L,12,36,14,22,63.6,3,7,42.9,5,6,83.3,1,10,11,7,4,3,1,5,9
HOU,HOU vs. ATL,11/30/2019,,W,12,43,13,22,59.1,7,11,63.6,10,10,100.0,2,10,12,5,3,1,0,8,12
MIL,MIL vs. CHA,11/30/2019,,W,12,34,14,23,60.9,4,6,66.7,2,4,50.0,2,15,17,9,3,1,2,3,10
WAS,WAS @ LAL,11/29/2019,,L,12,26,11,26,42.3,3,9,33.3,1,2,50.0,4,8,12,9,4,1,1,4,-7
POR,POR vs. CHI,11/29/2019,,W,12,28,8,17,47.1,3,7,42.9,9,13,69.2,0,13,13,5,5,3,2,8,9
PHX,PHX vs. DAL,11/29/2019,,L,12,25,8,18,44.4,3,7,42.9,6,8,75.0,1,7,8,6,4,2,3,5,3
NOP,NOP @ OKC,11/29/2019,,L,12,27,11,23,47.8,4,12,33.3,1,2,50.0,2,6,8,6,4,4,1,1,-1
CLE,CLE vs. MIL,11/29/2019,,L,12,18,7,19,36.8,0,4,0.0,4,7,57.1,3,8,11,5,5,2,0,5,-11
CHA,CHA @ DET,11/29/2019,,W,12,24,10,18,55.6,3,7,42.9,1,4,25.0,1,7,8,7,2,1,3,4,4
DAL,DAL @ PHX,11/29/2019,,W,12,22,7,19,36.8,5,12,41.7,3,6,50.0,1,11,12,5,6,2,0,9,-3
BOS,BOS @ BKN,11/29/2019,,L,12,31,11,24,45.8,6,9,66.7,3,4,75.0,3,10,13,6,3,1,0,3,4
NYK,NYK vs. PHI,11/29/2019,,L,12,20,7,19,36.8,2,4,50.0,4,10,40.0,2,11,13,3,4,0,1,8,-1
UTA,UTA @ MEM,11/29/2019,,W,12,18,7,22,31.8,2,9,22.2,2,3,66.7,1,8,9,3,3,2,0,5,-13
TOR,TOR @ ORL,11/29/2019,,W,12,20,7,23,30.4,4,14,28.6,2,8,25.0,3,6,9,6,3,3,1,7,-4
CHI,CHI @ POR,11/29/2019,,L,12,19,5,23,21.7,2,11,18.2,7,9,77.8,2,7,9,3,3,3,2,9,-9
GSW,GSW @ MIA,11/29/2019,,L,12,37,11,20,55.0,3,7,42.9,12,14,85.7,2,9,11,8,4,2,3,6,7
LAL,LAL vs. WAS,11/29/2019,,W,12,33,14,27,51.9,4,8,50.0,1,2,50.0,3,11,14,7,3,1,3,2,7
MIL,MIL @ CLE,11/29/2019,,W,12,29,12,21,57.1,3,11,27.3,2,2,100.0,1,10,11,10,4,1,1,7,11
MIA,MIA vs. GSW,11/29/2019,,W,12,30,12,25,48.0,2,8,25.0,4,4,100.0,3,7,10,4,4,3,0,10,-7
ATL,ATL @ IND,11/29/2019,,L,12,31,10,23,43.5,2,10,20.0,9,9,100.0,5,11,16,3,4,2,1,8,10
IND,IND vs. ATL,11/29/2019,,W,12,21,6,17,35.3,1,7,14.3,8,12,66.7,2,6,8,4,4,3,0,6,-10
DET,DET vs. CHA,11/29/2019,,L,12,20,8,20,40.0,3,7,42.9,1,5,20.0,4,8,12,5,5,1,0,2,-4
BKN,BKN vs. BOS,11/29/2019,,W,12,27,10,21,47.6,6,13,46.2,1,3,33.3,1,9,10,8,4,2,1,8,-4
PHI,PHI @ NYK,11/29/2019,,W,12,21,7,18,38.9,1,8,12.5,6,9,66.7,1,12,13,7,3,2,2,6,1
SAS,SAS vs. LAC,11/29/2019,,W,12,26,10,24,41.7,1,6,16.7,5,5,100.0,1,11,12,8,2,1,5,4,3
OKC,OKC vs. NOP,11/29/2019,,W,12,28,11,23,47.8,5,11,45.5,1,2,50.0,2,8,10,7,4,1,2,2,1
